market,interval,snapshot0,snapshot1,listing_id,init_u,reopened
buenos-aires,1,2025-09-27,2025-11-27,36036247,31,5
buenos-aires,1,2025-09-27,2025-11-27,36913858,6,0
buenos-aires,1,2025-09-27,2025-11-27,37490794,1,0
buenos-aires,1,2025-09-27,2025-11-27,37863226,42,9
buenos-aires,1,2025-09-27,2025-11-27,38413669,10,0
buenos-aires,1,2025-09-27,2025-11-27,38430179,15,0
buenos-aires,1,2025-09-27,2025-11-27,38572043,23,0
buenos-aires,1,2025-09-27,2025-11-27,38979576,7,0
buenos-aires,1,2025-09-27,2025-11-27,39533919,10,0
buenos-aires,1,2025-09-27,2025-11-27,39655186,10,0
buenos-aires,1,2025-09-27,2025-11-27,40556176,6,0
buenos-aires,1,2025-09-27,2025-11-27,40677208,2,2
buenos-aires,1,2025-09-27,2025-11-27,40881237,1,1
buenos-aires,1,2025-09-27,2025-11-27,40881282,2,2
buenos-aires,1,2025-09-27,2025-11-27,41480977,5,4
buenos-aires,1,2025-09-27,2025-11-27,41740643,5,4
buenos-aires,1,2025-09-27,2025-11-27,41801283,23,0
buenos-aires,1,2025-09-27,2025-11-27,42046889,3,3
buenos-aires,1,2025-09-27,2025-11-27,42091997,7,7
buenos-aires,1,2025-09-27,2025-11-27,42116898,2,0
buenos-aires,1,2025-09-27,2025-11-27,42389528,38,0
buenos-aires,1,2025-09-27,2025-11-27,42490713,3,0
buenos-aires,1,2025-09-27,2025-11-27,42707971,7,0
buenos-aires,1,2025-09-27,2025-11-27,43142108,2,0
buenos-aires,1,2025-09-27,2025-11-27,43387799,5,5
buenos-aires,1,2025-09-27,2025-11-27,45051847,24,0
buenos-aires,1,2025-09-27,2025-11-27,45302018,1,0
buenos-aires,1,2025-09-27,2025-11-27,45657312,9,0
buenos-aires,1,2025-09-27,2025-11-27,45951059,28,0
buenos-aires,1,2025-09-27,2025-11-27,45954836,28,0
buenos-aires,1,2025-09-27,2025-11-27,46218638,2,0
buenos-aires,1,2025-09-27,2025-11-27,46866258,11,0
buenos-aires,1,2025-09-27,2025-11-27,47785165,2,0
buenos-aires,1,2025-09-27,2025-11-27,48643793,11,0
buenos-aires,1,2025-09-27,2025-11-27,49814838,7,1
buenos-aires,1,2025-09-27,2025-11-27,50765677,31,0
buenos-aires,1,2025-09-27,2025-11-27,50828058,31,5
buenos-aires,1,2025-09-27,2025-11-27,51469836,19,0
buenos-aires,1,2025-09-27,2025-11-27,51925810,22,0
buenos-aires,1,2025-09-27,2025-11-27,52525450,12,0
buenos-aires,1,2025-09-27,2025-11-27,52590777,24,1
buenos-aires,1,2025-09-27,2025-11-27,52671852,84,1
buenos-aires,1,2025-09-27,2025-11-27,52873407,14,0
buenos-aires,1,2025-09-27,2025-11-27,53271882,14,3
buenos-aires,1,2025-09-27,2025-11-27,53315709,29,0
buenos-aires,1,2025-09-27,2025-11-27,53540425,6,0
buenos-aires,1,2025-09-27,2025-11-27,53586311,4,0
buenos-aires,1,2025-09-27,2025-11-27,53734139,30,0
buenos-aires,1,2025-09-27,2025-11-27,53939454,5,0
buenos-aires,1,2025-09-27,2025-11-27,53951284,12,5
buenos-aires,1,2025-09-27,2025-11-27,54002433,4,0
buenos-aires,1,2025-09-27,2025-11-27,54055387,18,0
buenos-aires,1,2025-09-27,2025-11-27,54125978,9,0
buenos-aires,1,2025-09-27,2025-11-27,54355694,2,0
buenos-aires,1,2025-09-27,2025-11-27,54356974,11,0
buenos-aires,1,2025-09-27,2025-11-27,515816403912810269,15,0
buenos-aires,1,2025-09-27,2025-11-27,547027078952433151,1,1
buenos-aires,1,2025-09-27,2025-11-27,548562218026245461,33,2
buenos-aires,1,2025-09-27,2025-11-27,549197317628621977,13,0
buenos-aires,1,2025-09-27,2025-11-27,554275658113646775,6,0
buenos-aires,1,2025-09-27,2025-11-27,554343724596444273,14,0
buenos-aires,1,2025-09-27,2025-11-27,559254442509907703,46,0
buenos-aires,1,2025-09-27,2025-11-27,565984911884800834,2,0
buenos-aires,1,2025-09-27,2025-11-27,566788553013449224,21,0
buenos-aires,1,2025-09-27,2025-11-27,568273321512823101,5,0
buenos-aires,1,2025-09-27,2025-11-27,573860810097175599,14,13
buenos-aires,1,2025-09-27,2025-11-27,579777481672211910,9,0
buenos-aires,1,2025-09-27,2025-11-27,586596464230058494,20,1
buenos-aires,1,2025-09-27,2025-11-27,589941547274687782,31,0
buenos-aires,1,2025-09-27,2025-11-27,595043251601520465,12,0
buenos-aires,1,2025-09-27,2025-11-27,595475964843445188,56,14
buenos-aires,1,2025-09-27,2025-11-27,597584479788325679,24,0
buenos-aires,1,2025-09-27,2025-11-27,598032354199856349,4,4
buenos-aires,1,2025-09-27,2025-11-27,603093105542269705,13,0
buenos-aires,1,2025-09-27,2025-11-27,610944296080031514,13,1
buenos-aires,1,2025-09-27,2025-11-27,623969569039109519,6,0
buenos-aires,1,2025-09-27,2025-11-27,626552561788843952,10,0
buenos-aires,1,2025-09-27,2025-11-27,635566499544924031,3,1
buenos-aires,1,2025-09-27,2025-11-27,639476467867614994,8,7
buenos-aires,1,2025-09-27,2025-11-27,639897075359965696,9,0
buenos-aires,1,2025-09-27,2025-11-27,644023876846098489,24,0
buenos-aires,1,2025-09-27,2025-11-27,645004579133935140,23,0
buenos-aires,1,2025-09-27,2025-11-27,650568603960327705,11,0
buenos-aires,1,2025-09-27,2025-11-27,654901445911413317,10,0
buenos-aires,1,2025-09-27,2025-11-27,655602968445258666,9,0
buenos-aires,1,2025-09-27,2025-11-27,661310945273424558,6,0
buenos-aires,1,2025-09-27,2025-11-27,661475262457218610,5,0
buenos-aires,1,2025-09-27,2025-11-27,662384592806019779,3,0
buenos-aires,1,2025-09-27,2025-11-27,663051555247768525,2,2
buenos-aires,1,2025-09-27,2025-11-27,663854142196206756,8,0
buenos-aires,1,2025-09-27,2025-11-27,674539414946911002,6,0
buenos-aires,1,2025-09-27,2025-11-27,677494862430033787,12,0
buenos-aires,1,2025-09-27,2025-11-27,681010477431863110,7,0
buenos-aires,1,2025-09-27,2025-11-27,681229973633077744,8,5
buenos-aires,1,2025-09-27,2025-11-27,683959525608889538,4,0
buenos-aires,1,2025-09-27,2025-11-27,689368078303128342,5,0
buenos-aires,1,2025-09-27,2025-11-27,691825932013992325,5,3
buenos-aires,1,2025-09-27,2025-11-27,700090091212174579,9,0
buenos-aires,1,2025-09-27,2025-11-27,700734260502319520,15,0
buenos-aires,1,2025-09-27,2025-11-27,704859741249555540,3,3
buenos-aires,1,2025-09-27,2025-11-27,709364139152295244,3,0
buenos-aires,1,2025-09-27,2025-11-27,715960091842889399,28,7
buenos-aires,1,2025-09-27,2025-11-27,717485802687850054,5,0
buenos-aires,1,2025-09-27,2025-11-27,718763686245365984,3,0
buenos-aires,1,2025-09-27,2025-11-27,729056489300213599,15,0
buenos-aires,1,2025-09-27,2025-11-27,733386039106087298,20,1
buenos-aires,1,2025-09-27,2025-11-27,734006779030012272,10,0
buenos-aires,1,2025-09-27,2025-11-27,735677606281473328,33,0
buenos-aires,1,2025-09-27,2025-11-27,740496596979210050,22,0
buenos-aires,1,2025-09-27,2025-11-27,741403887911711295,27,0
buenos-aires,1,2025-09-27,2025-11-27,747131987516617034,3,3
buenos-aires,1,2025-09-27,2025-11-27,752151957720885116,2,0
buenos-aires,1,2025-09-27,2025-11-27,755253351774788741,12,0
buenos-aires,1,2025-09-27,2025-11-27,757311818315011261,11,5
buenos-aires,1,2025-09-27,2025-11-27,757328392454202915,5,0
buenos-aires,1,2025-09-27,2025-11-27,757355814311514986,40,0
buenos-aires,1,2025-09-27,2025-11-27,757995951742119483,53,5
buenos-aires,1,2025-09-27,2025-11-27,759264754634423273,16,2
buenos-aires,1,2025-09-27,2025-11-27,760029872277683714,3,0
buenos-aires,1,2025-09-27,2025-11-27,762861422540823349,10,0
buenos-aires,1,2025-09-27,2025-11-27,768682398956549346,10,0
buenos-aires,1,2025-09-27,2025-11-27,771142883295151930,4,0
buenos-aires,1,2025-09-27,2025-11-27,771778109745378645,13,3
buenos-aires,1,2025-09-27,2025-11-27,777457965798624555,14,0
buenos-aires,1,2025-09-27,2025-11-27,779898129649313186,12,0
buenos-aires,1,2025-09-27,2025-11-27,784276832465987018,14,0
buenos-aires,1,2025-09-27,2025-11-27,792015652222561263,3,0
buenos-aires,1,2025-09-27,2025-11-27,792625411691332324,3,0
buenos-aires,1,2025-09-27,2025-11-27,794811884643728581,34,0
buenos-aires,1,2025-09-27,2025-11-27,797130706156797255,5,0
buenos-aires,1,2025-09-27,2025-11-27,797195189202869353,8,0
buenos-aires,1,2025-09-27,2025-11-27,799565643737880876,4,0
buenos-aires,1,2025-09-27,2025-11-27,800610582674777531,25,0
buenos-aires,1,2025-09-27,2025-11-27,801637832188643189,14,4
buenos-aires,1,2025-09-27,2025-11-27,804387883259799031,40,1
buenos-aires,1,2025-09-27,2025-11-27,805165983073980594,15,0
buenos-aires,1,2025-09-27,2025-11-27,805611153959292365,12,0
buenos-aires,1,2025-09-27,2025-11-27,805662888790683101,21,0
buenos-aires,1,2025-09-27,2025-11-27,808744459948303717,15,1
buenos-aires,1,2025-09-27,2025-11-27,809476459014396213,8,6
buenos-aires,1,2025-09-27,2025-11-27,810295041195096453,35,0
buenos-aires,1,2025-09-27,2025-11-27,811507470763605284,6,0
buenos-aires,1,2025-09-27,2025-11-27,811548226623823166,3,0
buenos-aires,1,2025-09-27,2025-11-27,811718619004627684,7,0
buenos-aires,1,2025-09-27,2025-11-27,811719959477855354,18,0
buenos-aires,1,2025-09-27,2025-11-27,812337433371599694,3,0
buenos-aires,1,2025-09-27,2025-11-27,813969581211526114,7,1
buenos-aires,1,2025-09-27,2025-11-27,815783737312105706,4,0
buenos-aires,1,2025-09-27,2025-11-27,815993593352535102,21,0
buenos-aires,1,2025-09-27,2025-11-27,816546548988272520,1,0
buenos-aires,1,2025-09-27,2025-11-27,816698122524699973,14,0
buenos-aires,1,2025-09-27,2025-11-27,816730486847461800,28,4
buenos-aires,1,2025-09-27,2025-11-27,817391080987213029,16,0
buenos-aires,1,2025-09-27,2025-11-27,820161124527993429,1,0
buenos-aires,1,2025-09-27,2025-11-27,822686289986601469,25,0
buenos-aires,1,2025-09-27,2025-11-27,826120323480460610,3,0
buenos-aires,1,2025-09-27,2025-11-27,827023152261486610,18,0
buenos-aires,1,2025-09-27,2025-11-27,827029911324272613,18,0
buenos-aires,1,2025-09-27,2025-11-27,827033955800872507,18,0
buenos-aires,1,2025-09-27,2025-11-27,828315114010571999,15,0
buenos-aires,1,2025-09-27,2025-11-27,828331574225921245,3,0
buenos-aires,1,2025-09-27,2025-11-27,833371965064478090,10,0
buenos-aires,1,2025-09-27,2025-11-27,833375738781728375,5,0
buenos-aires,1,2025-09-27,2025-11-27,839793107845784882,9,3
buenos-aires,1,2025-09-27,2025-11-27,844188417163084409,6,0
buenos-aires,1,2025-09-27,2025-11-27,845774126678118809,1,0
buenos-aires,1,2025-09-27,2025-11-27,849934709558728983,23,2
buenos-aires,1,2025-09-27,2025-11-27,851535974651113870,5,0
buenos-aires,1,2025-09-27,2025-11-27,858035351357513707,17,0
buenos-aires,1,2025-09-27,2025-11-27,858879961990999749,13,0
buenos-aires,1,2025-09-27,2025-11-27,859249217703963965,1,0
buenos-aires,1,2025-09-27,2025-11-27,861515333196161138,1,0
buenos-aires,1,2025-09-27,2025-11-27,867597333739082893,7,0
buenos-aires,1,2025-09-27,2025-11-27,868908534636014664,15,0
buenos-aires,1,2025-09-27,2025-11-27,870136006635543451,34,0
buenos-aires,1,2025-09-27,2025-11-27,872595932026120846,6,0
buenos-aires,1,2025-09-27,2025-11-27,876520432484717069,2,0
buenos-aires,1,2025-09-27,2025-11-27,877440048388470114,14,0
buenos-aires,1,2025-09-27,2025-11-27,879744572302728244,7,0
buenos-aires,1,2025-09-27,2025-11-27,879927544179118661,14,0
buenos-aires,1,2025-09-27,2025-11-27,887615210748428386,7,0
buenos-aires,1,2025-09-27,2025-11-27,889258699726892481,12,3
buenos-aires,1,2025-09-27,2025-11-27,890392072096961156,2,0
buenos-aires,1,2025-09-27,2025-11-27,891227400751921269,18,0
buenos-aires,1,2025-09-27,2025-11-27,891806197924613569,3,0
buenos-aires,1,2025-09-27,2025-11-27,893631979113476313,8,0
buenos-aires,1,2025-09-27,2025-11-27,894909669682163904,10,0
buenos-aires,1,2025-09-27,2025-11-27,895812236986430043,30,2
buenos-aires,1,2025-09-27,2025-11-27,897030187595972613,29,0
buenos-aires,1,2025-09-27,2025-11-27,900114615248141930,4,0
buenos-aires,1,2025-09-27,2025-11-27,901501342068033893,41,0
buenos-aires,1,2025-09-27,2025-11-27,901510239292094907,7,0
buenos-aires,1,2025-09-27,2025-11-27,902746937991641220,3,0
buenos-aires,1,2025-09-27,2025-11-27,903069276663378977,18,4
buenos-aires,1,2025-09-27,2025-11-27,905106029739146754,16,0
buenos-aires,1,2025-09-27,2025-11-27,906824161489973679,3,0
buenos-aires,1,2025-09-27,2025-11-27,916146601653315929,5,1
buenos-aires,1,2025-09-27,2025-11-27,916876572433982632,29,0
buenos-aires,1,2025-09-27,2025-11-27,917444600717223939,13,0
buenos-aires,1,2025-09-27,2025-11-27,923326881277859728,5,0
buenos-aires,1,2025-09-27,2025-11-27,923720786148471478,3,0
buenos-aires,1,2025-09-27,2025-11-27,926165230774369532,30,2
buenos-aires,1,2025-09-27,2025-11-27,926679572997455188,1,0
buenos-aires,1,2025-09-27,2025-11-27,928401539358111615,12,0
buenos-aires,1,2025-09-27,2025-11-27,932006826011456959,6,0
buenos-aires,1,2025-09-27,2025-11-27,932316543774049080,3,0
buenos-aires,1,2025-09-27,2025-11-27,932496867300939639,83,2
buenos-aires,1,2025-09-27,2025-11-27,932807660938106798,4,0
buenos-aires,1,2025-09-27,2025-11-27,933320989261470680,3,0
buenos-aires,1,2025-09-27,2025-11-27,938985471428721385,12,0
buenos-aires,1,2025-09-27,2025-11-27,942297646263686154,6,0
buenos-aires,1,2025-09-27,2025-11-27,947288756705438331,15,0
buenos-aires,1,2025-09-27,2025-11-27,947941467530111973,8,0
buenos-aires,1,2025-09-27,2025-11-27,948523393150496659,10,0
buenos-aires,1,2025-09-27,2025-11-27,952173831174230218,26,2
buenos-aires,1,2025-09-27,2025-11-27,952294178900528567,13,6
buenos-aires,1,2025-09-27,2025-11-27,954175036761739118,23,0
buenos-aires,1,2025-09-27,2025-11-27,954506337650046792,2,0
buenos-aires,1,2025-09-27,2025-11-27,954941755420105762,17,0
buenos-aires,1,2025-09-27,2025-11-27,955099248505668483,5,0
buenos-aires,1,2025-09-27,2025-11-27,957456099195007948,13,0
buenos-aires,1,2025-09-27,2025-11-27,959534026468628090,6,0
buenos-aires,1,2025-09-27,2025-11-27,960871816898495304,5,0
buenos-aires,1,2025-09-27,2025-11-27,961376865102340462,37,1
buenos-aires,1,2025-09-27,2025-11-27,962507156927536442,31,0
buenos-aires,1,2025-09-27,2025-11-27,963790691649782853,9,0
buenos-aires,1,2025-09-27,2025-11-27,964030060562024905,8,0
buenos-aires,1,2025-09-27,2025-11-27,965250953022597342,2,0
buenos-aires,1,2025-09-27,2025-11-27,965406090098915089,11,0
buenos-aires,1,2025-09-27,2025-11-27,967555725377789426,14,0
buenos-aires,1,2025-09-27,2025-11-27,968978648279196186,3,0
buenos-aires,1,2025-09-27,2025-11-27,969515925231252694,41,1
buenos-aires,1,2025-09-27,2025-11-27,974524678101054284,9,1
buenos-aires,1,2025-09-27,2025-11-27,974663886535243965,7,0
buenos-aires,1,2025-09-27,2025-11-27,977355113827322878,4,1
