market,interval,snapshot0,snapshot1,listing_id,init_u,reopened
belize,1,2025-09-28,2025-12-29,833278561779161065,19,0
belize,1,2025-09-28,2025-12-29,850770903468530269,22,5
belize,1,2025-09-28,2025-12-29,889358282698402487,41,0
belize,1,2025-09-28,2025-12-29,918112998472672803,25,0
belize,1,2025-09-28,2025-12-29,918113013920584638,35,6
belize,1,2025-09-28,2025-12-29,918113164476999649,33,6
belize,1,2025-09-28,2025-12-29,922440899639883027,8,0
belize,1,2025-09-28,2025-12-29,922568547649995361,21,0
belize,1,2025-09-28,2025-12-29,924582655514662526,3,0
belize,1,2025-09-28,2025-12-29,937609612912252003,11,0
belize,1,2025-09-28,2025-12-29,958681704812324785,10,0
belize,1,2025-09-28,2025-12-29,989202066725188946,6,0
belize,1,2025-09-28,2025-12-29,1007892389927592300,14,0
belize,1,2025-09-28,2025-12-29,1008598576150917386,31,1
belize,1,2025-09-28,2025-12-29,1016824116092298167,28,3
belize,1,2025-09-28,2025-12-29,1021798144626543282,5,0
belize,1,2025-09-28,2025-12-29,1024906990122533862,40,0
belize,1,2025-09-28,2025-12-29,1051617365976926801,22,4
belize,1,2025-09-28,2025-12-29,1094394214360615365,43,11
belize,1,2025-09-28,2025-12-29,1108885643341045155,10,1
belize,1,2025-09-28,2025-12-29,1109413513081726251,10,4
belize,1,2025-09-28,2025-12-29,1109450642083447718,10,0
belize,1,2025-09-28,2025-12-29,1117591019744246169,8,0
belize,1,2025-09-28,2025-12-29,1142311654855100127,15,0
belize,1,2025-09-28,2025-12-29,1154552181574300224,10,2
belize,1,2025-09-28,2025-12-29,1167335034637135470,13,6
belize,1,2025-09-28,2025-12-29,1167335062912260419,7,0
belize,1,2025-09-28,2025-12-29,1177636250852866677,3,0
belize,1,2025-09-28,2025-12-29,1182614882806000086,29,5
belize,1,2025-09-28,2025-12-29,1184912107206660549,49,11
belize,1,2025-09-28,2025-12-29,1213858498249955288,14,0
belize,1,2025-09-28,2025-12-29,1222539874872094282,29,0
belize,1,2025-09-28,2025-12-29,1244206804781124566,24,3
belize,1,2025-09-28,2025-12-29,1247887937288254045,16,0
belize,1,2025-09-28,2025-12-29,1252988595990874338,9,0
belize,1,2025-09-28,2025-12-29,1258784585472409730,10,2
belize,1,2025-09-28,2025-12-29,1269738355640234236,34,13
belize,1,2025-09-28,2025-12-29,1271002875093460274,42,8
belize,1,2025-09-28,2025-12-29,1272414542622232461,9,0
belize,1,2025-09-28,2025-12-29,1273551787631912170,7,0
belize,1,2025-09-28,2025-12-29,1277583055551411547,53,0
belize,1,2025-09-28,2025-12-29,1294324801214580863,8,0
belize,1,2025-09-28,2025-12-29,1296498881666459709,7,0
belize,1,2025-09-28,2025-12-29,1297979230695530088,22,4
belize,1,2025-09-28,2025-12-29,1298017714359360870,9,0
belize,1,2025-09-28,2025-12-29,1313358846294407283,4,1
belize,1,2025-09-28,2025-12-29,1313736305093592449,14,0
belize,1,2025-09-28,2025-12-29,1313943839293225717,8,2
belize,1,2025-09-28,2025-12-29,1331430971909561642,20,1
belize,1,2025-09-28,2025-12-29,1342689881365834362,14,0
belize,1,2025-09-28,2025-12-29,1345159029842382427,20,6
belize,1,2025-09-28,2025-12-29,1359635047812702194,32,0
belize,1,2025-09-28,2025-12-29,1365434930136441008,113,24
belize,1,2025-09-28,2025-12-29,1365437469930024692,113,24
belize,1,2025-09-28,2025-12-29,1371269330424107073,11,0
belize,1,2025-09-28,2025-12-29,1399459469630476705,12,2
belize,1,2025-09-28,2025-12-29,1399459470551161159,21,0
belize,1,2025-09-28,2025-12-29,1409347255037502714,7,0
belize,1,2025-09-28,2025-12-29,1465500845204958172,11,2
belize,1,2025-09-28,2025-12-29,1499288506738269482,1,0
belize,2,2025-12-29,2026-03-30,1187309,7,0
belize,2,2025-12-29,2026-03-30,3594049,79,0
belize,2,2025-12-29,2026-03-30,3704445,14,0
belize,2,2025-12-29,2026-03-30,4333646,7,0
belize,2,2025-12-29,2026-03-30,4774977,7,0
belize,2,2025-12-29,2026-03-30,4974742,23,0
belize,2,2025-12-29,2026-03-30,8500000,23,0
belize,2,2025-12-29,2026-03-30,9597407,15,0
