norm,quarter,coef,B,uf_ratio,fp_ratio,m_pct,u_pct
"next-Q rev, 2023+2024 only (no 1H25)",4Q25,0.1,1.05,0.945,0.971,2.472,7.718
"next-Q rev, 2023+2024 only (no 1H25)",4Q25,0.1,1.1,0.945,0.971,2.472,11.913
"next-Q rev, 2023+2024 only (no 1H25)",4Q25,0.124,1.0,0.945,0.971,2.42,3.155
"next-Q rev, 2023+2024 only (no 1H25)",4Q25,0.124,1.05,0.945,0.971,2.42,7.767
"next-Q rev, 2023+2024 only (no 1H25)",4Q25,0.124,1.1,0.945,0.971,2.42,11.959
"next-Q rev, 2023+2024 only (no 1H25)",4Q25,0.142,1.0,0.945,0.971,2.383,3.192
"next-Q rev, 2023+2024 only (no 1H25)",4Q25,0.142,1.05,0.945,0.971,2.383,7.802
"next-Q rev, 2023+2024 only (no 1H25)",4Q25,0.142,1.1,0.945,0.971,2.383,11.993
"next-Q rev, 2023+2024 only (no 1H25)",1Q26,0.1,1.0,0.861,0.928,6.614,7.832
"next-Q rev, 2023+2024 only (no 1H25)",1Q26,0.1,1.05,0.861,0.928,6.614,12.221
"next-Q rev, 2023+2024 only (no 1H25)",1Q26,0.1,1.1,0.861,0.928,6.614,16.211
"next-Q rev, 2023+2024 only (no 1H25)",1Q26,0.124,1.0,0.861,0.928,6.482,7.963
"next-Q rev, 2023+2024 only (no 1H25)",1Q26,0.124,1.05,0.861,0.928,6.482,12.345
"next-Q rev, 2023+2024 only (no 1H25)",1Q26,0.124,1.1,0.861,0.928,6.482,16.33
"next-Q rev, 2023+2024 only (no 1H25)",1Q26,0.142,1.0,0.861,0.928,6.387,8.057
"next-Q rev, 2023+2024 only (no 1H25)",1Q26,0.142,1.05,0.861,0.928,6.387,12.435
"next-Q rev, 2023+2024 only (no 1H25)",1Q26,0.142,1.1,0.861,0.928,6.387,16.415
"next-Q rev, 2023+2024 only (no 1H25)",2Q26,0.1,1.0,0.847,0.932,8.424,7.545
"next-Q rev, 2023+2024 only (no 1H25)",2Q26,0.1,1.05,0.847,0.932,8.424,11.947
"next-Q rev, 2023+2024 only (no 1H25)",2Q26,0.1,1.1,0.847,0.932,8.424,15.95
"next-Q rev, 2023+2024 only (no 1H25)",2Q26,0.124,1.0,0.847,0.932,8.259,7.711
"next-Q rev, 2023+2024 only (no 1H25)",2Q26,0.124,1.05,0.847,0.932,8.259,12.106
"next-Q rev, 2023+2024 only (no 1H25)",2Q26,0.124,1.1,0.847,0.932,8.259,16.101
"next-Q rev, 2023+2024 only (no 1H25)",2Q26,0.142,1.0,0.847,0.932,8.139,7.831
"next-Q rev, 2023+2024 only (no 1H25)",2Q26,0.142,1.05,0.847,0.932,8.139,12.22
"next-Q rev, 2023+2024 only (no 1H25)",2Q26,0.142,1.1,0.847,0.932,8.139,16.21
"next-Q rev, 2022-2024 +1H25",4Q25,0.1,1.0,0.963,0.977,1.282,2.451
"next-Q rev, 2022-2024 +1H25",4Q25,0.1,1.05,0.963,0.977,1.282,7.096
"next-Q rev, 2022-2024 +1H25",4Q25,0.1,1.1,0.963,0.977,1.282,11.319
"next-Q rev, 2022-2024 +1H25",4Q25,0.124,1.0,0.963,0.977,1.255,2.477
"next-Q rev, 2022-2024 +1H25",4Q25,0.124,1.05,0.963,0.977,1.255,7.121
"next-Q rev, 2022-2024 +1H25",4Q25,0.124,1.1,0.963,0.977,1.255,11.343
"next-Q rev, 2022-2024 +1H25",4Q25,0.142,1.0,0.963,0.977,1.236,2.497
"next-Q rev, 2022-2024 +1H25",4Q25,0.142,1.05,0.963,0.977,1.236,7.14
"next-Q rev, 2022-2024 +1H25",4Q25,0.142,1.1,0.963,0.977,1.236,11.361
"next-Q rev, 2022-2024 +1H25",1Q26,0.1,1.0,0.873,0.961,8.402,4.681
"next-Q rev, 2022-2024 +1H25",1Q26,0.1,1.05,0.873,0.961,8.402,9.22
"next-Q rev, 2022-2024 +1H25",1Q26,0.1,1.1,0.873,0.961,8.402,13.346
"next-Q rev, 2022-2024 +1H25",1Q26,0.124,1.0,0.873,0.961,8.238,4.852
"next-Q rev, 2022-2024 +1H25",1Q26,0.124,1.05,0.873,0.961,8.238,9.383
"next-Q rev, 2022-2024 +1H25",1Q26,0.124,1.1,0.873,0.961,8.238,13.502
"next-Q rev, 2022-2024 +1H25",1Q26,0.142,1.0,0.873,0.961,8.118,4.975
"next-Q rev, 2022-2024 +1H25",1Q26,0.142,1.05,0.873,0.961,8.118,9.5
"next-Q rev, 2022-2024 +1H25",1Q26,0.142,1.1,0.873,0.961,8.118,13.614
"next-Q rev, 2022-2024 +1H25",2Q26,0.1,1.0,0.849,0.947,9.487,6.167
"next-Q rev, 2022-2024 +1H25",2Q26,0.1,1.05,0.849,0.947,9.487,10.635
"next-Q rev, 2022-2024 +1H25",2Q26,0.1,1.1,0.849,0.947,9.487,14.697
"next-Q rev, 2022-2024 +1H25",2Q26,0.124,1.0,0.849,0.947,9.304,6.357
"next-Q rev, 2022-2024 +1H25",2Q26,0.124,1.05,0.849,0.947,9.304,10.816
"next-Q rev, 2022-2024 +1H25",2Q26,0.124,1.1,0.849,0.947,9.304,14.87
"next-Q rev, 2022-2024 +1H25",2Q26,0.142,1.0,0.849,0.947,9.17,6.494
"next-Q rev, 2022-2024 +1H25",2Q26,0.142,1.05,0.849,0.947,9.17,10.947
"next-Q rev, 2022-2024 +1H25",2Q26,0.142,1.1,0.849,0.947,9.17,14.995
"same-quarter GBV, 2023+2024+1H25",4Q25,0.1,1.0,0.929,0.953,2.299,4.883
"same-quarter GBV, 2023+2024+1H25",4Q25,0.1,1.05,0.929,0.953,2.299,9.412
"same-quarter GBV, 2023+2024+1H25",4Q25,0.1,1.1,0.929,0.953,2.299,13.53
"same-quarter GBV, 2023+2024+1H25",4Q25,0.124,1.0,0.929,0.953,2.251,4.93
"same-quarter GBV, 2023+2024+1H25",4Q25,0.124,1.05,0.929,0.953,2.251,9.457
"same-quarter GBV, 2023+2024+1H25",4Q25,0.124,1.1,0.929,0.953,2.251,13.572
"same-quarter GBV, 2023+2024+1H25",4Q25,0.142,1.0,0.929,0.953,2.217,4.963
"same-quarter GBV, 2023+2024+1H25",4Q25,0.142,1.05,0.929,0.953,2.217,9.489
"same-quarter GBV, 2023+2024+1H25",4Q25,0.142,1.1,0.929,0.953,2.217,13.603
"same-quarter GBV, 2023+2024+1H25",1Q26,0.1,1.0,0.867,0.954,8.352,5.41
"same-quarter GBV, 2023+2024+1H25",1Q26,0.1,1.05,0.867,0.954,8.352,9.915
"same-quarter GBV, 2023+2024+1H25",1Q26,0.1,1.1,0.867,0.954,8.352,14.009
"same-quarter GBV, 2023+2024+1H25",1Q26,0.124,1.0,0.867,0.954,8.189,5.579
"same-quarter GBV, 2023+2024+1H25",1Q26,0.124,1.05,0.867,0.954,8.189,10.075
"same-quarter GBV, 2023+2024+1H25",1Q26,0.124,1.1,0.867,0.954,8.189,14.163
"same-quarter GBV, 2023+2024+1H25",1Q26,0.142,1.0,0.867,0.954,8.07,5.701
"same-quarter GBV, 2023+2024+1H25",1Q26,0.142,1.05,0.867,0.954,8.07,10.191
"same-quarter GBV, 2023+2024+1H25",1Q26,0.142,1.1,0.867,0.954,8.07,14.274
"same-quarter GBV, 2023+2024+1H25",2Q26,0.1,1.0,0.848,0.938,8.762,7.025
"same-quarter GBV, 2023+2024+1H25",2Q26,0.1,1.05,0.848,0.938,8.762,11.452
"same-quarter GBV, 2023+2024+1H25",2Q26,0.1,1.1,0.848,0.938,8.762,15.477
