window,target,horizon_q,object,spec_id,n,mae,rw_mae,bias,mae_ratio_street,rw_mae_ratio_street,passes
W1,adj_ebitda_musd,0,street(raw baseline),-,14,65.27667000000001,62.31391692422403,-51.33259000000003,1.0,1.0,False
W1,adj_ebitda_musd,0,dispersion_conditioned,ew,14,53.263936560876665,42.822495216749545,18.43416980092738,0.8159720243216552,0.6872059618531642,True
W1,adj_ebitda_musd,0,dispersion_conditioned,ew_usd,14,54.98247187015427,41.00924136090549,11.644073792042292,0.8422989694504064,0.6581072637557708,True
W1,adj_ebitda_musd,0,dispersion_conditioned,rw_hl4,14,52.895225404282556,44.6797776305263,-0.766415967139019,0.8103235873441851,0.7170112205409671,True
W1,adj_ebitda_musd,0,dispersion_conditioned,rw_hl4_from21,14,53.044259764573894,44.67793604869603,13.107211517281668,0.8126067056510984,0.7169816672417818,True
W1,adj_ebitda_musd,0,dispersion_conditioned,rw_hl4_med,14,50.95353647570857,43.066671895262985,-5.06717146816659,0.780578060671731,0.6911244553545496,True
W1,adj_ebitda_musd,0,dispersion_conditioned,rw_hl4_usd,14,55.35755882339827,46.739810176179645,-6.038443262858733,0.8480450798638819,0.7500701686433375,True
W1,adj_ebitda_musd,0,street_plus_bias,ew,14,82.29014395517068,70.9806512549115,72.93800507072274,1.2606363644954723,1.139081841721273,False
W1,adj_ebitda_musd,0,street_plus_bias,ew_usd,14,57.78645825816138,41.64149783807588,41.00740267733429,0.8852543835057973,0.6682535763032428,True
W1,adj_ebitda_musd,0,street_plus_bias,rw_hl4,14,61.34181591382446,48.017294995130115,36.21645899755224,0.9397203612534839,0.7705709633615373,True
W1,adj_ebitda_musd,0,street_plus_bias,rw_hl4_from21,14,74.3963134725951,54.02337705813335,59.865349963496975,1.139707547468262,0.8669552441042621,False
W1,adj_ebitda_musd,0,street_plus_bias,rw_hl4_med,14,58.82911539897676,47.30366453532146,30.861416467612106,0.9012272745986698,0.7591187790817968,True
W1,adj_ebitda_musd,0,street_plus_bias,rw_hl4_usd,14,48.530517935986985,33.96601753745674,10.627115544597908,0.7434588488657123,0.5450791607075615,True
