object_id,name,postal_code,rooms,longitude,latitude,row_update_code,name_postal_key,source_id,independent_status,airbnb_membership
19923,Classique Hotel,208913,42,103.85816175664027,1.3094299434308097,20240402085039,CLASSIQUE HOTEL|208913,HRE-SG-HLB,unverified,unverified
19924,Coliwoo Hotel Pasir Panjang,118741,54,103.77016755141675,1.2920783347111768,20240402085039,COLIWOO HOTEL PASIR PANJANG|118741,HRE-SG-HLB,unverified,unverified
19925,Conrad Singapore Orchard,249715,445,103.82489736480667,1.3046732236563439,20240402085039,CONRAD SINGAPORE ORCHARD|249715,HRE-SG-HLB,unverified,unverified
19926,Courtyard By Marriott Singapore Novena,329568,250,103.84316509004381,1.3205947670704905,20240402085039,COURTYARD BY MARRIOTT SINGAPORE NOVENA|329568,HRE-SG-HLB,unverified,unverified
19927,Fragrance Hotel - Kovan,534629,43,103.87873310161291,1.3540639685710352,20240402085039,FRAGRANCE HOTEL KOVAN|534629,HRE-SG-HLB,unverified,unverified
19928,Furama Riverfront Singapore,169633,663,103.83609283886709,1.2876345381381906,20240402085039,FURAMA RIVERFRONT SINGAPORE|169633,HRE-SG-HLB,unverified,unverified
19929,Genting Hotel Jurong,608516,557,103.73925962627777,1.3315616289837868,20240402085039,GENTING HOTEL JURONG|608516,HRE-SG-HLB,unverified,unverified
19930,Heritage Collection on Seah,188395,18,103.85508878875709,1.2958984611921713,20240402085039,HERITAGE COLLECTION ON SEAH|188395,HRE-SG-HLB,unverified,unverified
19931,Holiday Inn Express Singapore Katong,423371,451,103.90457422864435,1.3048533679508796,20240402085039,HOLIDAY INN EXPRESS SINGAPORE KATONG|423371,HRE-SG-HLB,unverified,unverified
19932,Hoover Hotel,329706,42,103.85306962177157,1.3217031386389495,20240402085039,HOOVER HOTEL|329706,HRE-SG-HLB,unverified,unverified
19933,Hotel 81 - Changi,419871,80,103.91172907723094,1.318691156330807,20240402085039,HOTEL 81 CHANGI|419871,HRE-SG-HLB,unverified,unverified
19934,Lodge 41,398877,19,103.88020180393667,1.3115223725680327,20241009094137,LODGE 41|398877,HRE-SG-HLB,unverified,unverified
19935,"Maxwell Reserve Singapore, Autograph Collection",078857,138,103.8443673546913,1.2791522112881117,20241009094137,MAXWELL RESERVE SINGAPORE AUTOGRAPH COLLECTION|078857,HRE-SG-HLB,unverified,unverified
19936,Mercure Singapore Bugis,188973,395,103.85308305119756,1.2996365428727097,20241009094137,MERCURE SINGAPORE BUGIS|188973,HRE-SG-HLB,unverified,unverified
19937,Mondrian Singapore Duxton,089970,302,103.84212408192026,1.2786976301172788,20241009094137,MONDRIAN SINGAPORE DUXTON|089970,HRE-SG-HLB,unverified,unverified
19938,Naumi,188396,73,103.85518168711224,1.2958680845837784,20241009094137,NAUMI|188396,HRE-SG-HLB,unverified,unverified
19939,New Orchid Hotel,329777,68,103.85103942858026,1.3242912809084875,20241009094137,NEW ORCHID HOTEL|329777,HRE-SG-HLB,unverified,unverified
19940,"Oasia Hotel Downtown, Singapore",079333,314,103.84424485929448,1.2758506304258566,20241009094137,OASIA HOTEL DOWNTOWN SINGAPORE|079333,HRE-SG-HLB,unverified,unverified
19941,Oasia Resort Sentosa,098679,191,103.81955756882962,1.2532936582985097,20241009094137,OASIA RESORT SENTOSA|098679,HRE-SG-HLB,unverified,unverified
19942,Oh My Suites,399199,56,103.87650227074639,1.309994251689579,20241009094137,OH MY SUITES|399199,HRE-SG-HLB,unverified,unverified
19943,ONE15 Marina Club,098497,26,103.83834477965387,1.2465985797506023,20241009094137,ONE15 MARINA CLUB|098497,HRE-SG-HLB,unverified,unverified
19944,Orchid Hotel,078867,272,103.8438472316347,1.2769367400378522,20241009094137,ORCHID HOTEL|078867,HRE-SG-HLB,unverified,unverified
19945,PARADOX SINGAPORE MERCHANT COURT AT CLARKE QUAY,058281,476,103.84569230371439,1.2882180237938254,20241009094137,PARADOX SINGAPORE MERCHANT COURT AT CLARKE QUAY|058281,HRE-SG-HLB,unverified,unverified
19946,"PARKROYAL COLLECTION  Marina Bay, Singapore",039594,583,103.85700734100752,1.2914552590652084,20241009094137,PARKROYAL COLLECTION MARINA BAY SINGAPORE|039594,HRE-SG-HLB,unverified,unverified
19947,"PARKROYAL Collection Pickering, Singapore",058289,367,103.84629028221285,1.2856391366456934,20241009094137,PARKROYAL COLLECTION PICKERING SINGAPORE|058289,HRE-SG-HLB,unverified,unverified
19948,Perak Hotel,208133,32,103.85321274070851,1.3047773543331336,20241009094137,PERAK HOTEL|208133,HRE-SG-HLB,unverified,unverified
19949,PHILIP HOTEL,209598,25,103.85569384661315,1.3088726113824782,20241009094137,PHILIP HOTEL|209598,HRE-SG-HLB,unverified,unverified
19950,21 Carpenter,059984,44,103.8474241174453,1.288591342892928,20241009094137,21 CARPENTER|059984,HRE-SG-HLB,unverified,unverified
19951,7 Wonders Hostel @ Boat Quay,058695,4,103.84826042121762,1.2869341121036761,20241009094137,7 WONDERS HOSTEL BOAT QUAY|058695,HRE-SG-HLB,unverified,unverified
