pair,window,early,late,gap_months,n_early,n_late,ratio,annual_attrition_pct,n_listings_early,listing_exit_share
NYC Jan 2015 -> Sep 2015 (8 months),months 1-36 before early dump,2015-01-01,2015-09-01,8,263272,197098,0.7486477863198517,35.22367322652631,18904,0.43377063055438003
NYC Jan 2015 -> Sep 2015 (8 months),calendar 2014,2015-01-01,2015-09-01,8,168319,121774,0.7234715035141606,38.46359167219446,18042,0.4289435761002106
Barcelona montera34 151002 vs ChicagoBooth (same dump),months 1-36 before early dump,2015-10-02,2015-10-02,0,235609,235609,1.0,,11738,0.0
Barcelona montera34 151002 vs ChicagoBooth (same dump),calendar 2014,2015-10-02,2015-10-02,0,75053,75053,1.0,,5549,0.0
Barcelona Apr 2015 -> Jan 2016 (8 months),months 1-36 before early dump,2015-04-30,2016-01-03,9,142190,100953,0.7099866375975807,36.661627458230804,7937,0.40103313594557133
Barcelona Apr 2015 -> Jan 2016 (8 months),calendar 2014,2015-04-30,2016-01-03,9,82752,59871,0.7234991299303944,35.04927284533136,6446,0.3841141793360223
