term,coef,se,lo,hi,p
weekend_share,0.14584367045404747,0.0015048138883966217,0.14336844194235537,0.14831889896573958,0.0
T_share,-0.015128258414683144,0.002428980444044168,-0.019123624018230784,-0.011132892811135504,4.741622650072941e-10
M_share,0.015002138480113624,0.0036024334963549814,0.009076591028426182,0.02092768593180107,3.124510565211125e-05
host_T,0.07091243102390266,0.002684863088629967,0.06649617083504467,0.07532869121276065,0.0
host_M,0.0946952660507946,0.004349880529149406,0.0875402627701716,0.10185026933141761,0.0
