block,kind,target,predictor,n,pearson_r,pearson_p,spearman_rho,spearman_p,perm_p,loo_rmse,naive_last_rmse,loo_mean_rmse,loo_r2_vs_mean,beats_naive_last,beats_loo_mean,mean_surprise,median_surprise,share_positive,r2_full,loo_r2,rmse_model_loo,rmse_sqpy_naive,rmse_model_loo_on_bound_rows,rmse_guide_bound,rmse_sqpy_on_bound_rows,n_bound_rows,coefs,quarters,nowcast_surprise_vs_bound_pts,nowcast_margin_pct,guide_bound_pct,sqpy_margin_pct,nowcast_margin_yoy_pts
univariate,lagged (pre-print),surprise_specsign_pts,ops_per_night_yoy_lag1,14,-0.0429,0.8842,-0.0945,0.7479,0.8896,2.1507,2.4607,2.0650,-0.0847,1.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_specsign_pts,take_rate_chg_bps_lag1,14,0.0909,0.7573,0.0901,0.7593,0.7591,2.1355,2.4607,2.0650,-0.0694,1.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_specsign_pts,sbc_pct_rev_chg_pts_lag1,14,-0.2151,0.4603,-0.0681,0.8170,0.4561,2.1643,2.4607,2.0650,-0.0985,1.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_specsign_pts,adr_exfx_yoy_lag1,14,0.0721,0.8065,-0.0154,0.9584,0.8080,2.2209,2.4607,2.0650,-0.1567,1.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_specsign_pts,fx_pts,14,-0.0590,0.8412,0.0784,0.7898,0.8152,2.2292,2.4607,2.0650,-0.1654,1.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_specsign_pts,hotel_cpi_q_yoy,14,-0.0827,0.7787,0.0022,0.9941,0.7926,2.1580,2.4607,2.0650,-0.0921,1.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_specsign_pts,pre_this_guide_mid_yoy,14,0.0692,0.8143,-0.1912,0.5126,0.8115,2.1411,2.4607,2.0650,-0.0750,1.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_specsign_pts,pre_this_guide_width_pct,14,-0.1675,0.5672,-0.0486,0.8689,0.5797,2.0903,2.4607,2.0650,-0.0246,1.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_specsign_pts,pre_prev_rev_beat_mid_pct,14,-0.0464,0.8749,-0.2026,0.4872,0.8715,2.2439,2.4607,2.0650,-0.1808,1.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_specsign_pts,pre_prev_streak_signed,14,-0.0942,0.7486,-0.0894,0.7612,0.7505,2.0983,2.4607,2.0650,-0.0326,1.0000,0.0000,,,,,,,,,,,,,,,,,,
