market,target,date,source,url,status,exists,size,listings_local,note,region,quarter,downloaded,processed
buenos-aires,2025-09-15,2025-09-27,local_listings,https://data.insideairbnb.com/argentina/ciudad-aut%C3%B3noma-de-buenos-aires/buenos-aires/2025-09-27/data/calendar.csv.gz,206,True,23268675,True,,latam,3Q25,True,True
buenos-aires,2025-12-15,2025-11-27,local_listings,https://data.insideairbnb.com/argentina/ciudad-aut%C3%B3noma-de-buenos-aires/buenos-aires/2025-11-27/data/calendar.csv.gz,206,True,23446977,True,,latam,4Q25,True,True
buenos-aires,2026-03-15,2026-03-30,cdn_probe,https://data.insideairbnb.com/argentina/ciudad-aut%C3%B3noma-de-buenos-aires/buenos-aires/2026-03-30/data/calendar.csv.gz,206,True,23770765,False,,latam,1Q26,True,True
buenos-aires,2026-06-15,2026-06-29,local_listings,https://data.insideairbnb.com/argentina/ciudad-aut%C3%B3noma-de-buenos-aires/buenos-aires/2026-06-29/data/calendar.csv.gz,206,True,25374176,True,,latam,2Q26,True,True
buenos-aires,2026-08-20,2026-08-30,local_listings,https://data.insideairbnb.com/argentina/ciudad-aut%C3%B3noma-de-buenos-aires/buenos-aires/2026-08-30/data/calendar.csv.gz,206,True,26480130,True,,latam,3Q26,True,True
chicago,2025-09-15,2025-09-22,local_listings,https://data.insideairbnb.com/united-states/il/chicago/2025-09-22/data/calendar.csv.gz,206,True,7567279,True,,na,3Q25,True,True
chicago,2025-12-15,2025-12-25,local_listings,https://data.insideairbnb.com/united-states/il/chicago/2025-12-25/data/calendar.csv.gz,206,True,7951196,True,,na,4Q25,True,True
chicago,2026-03-15,2026-03-27,local_listings,https://data.insideairbnb.com/united-states/il/chicago/2026-03-27/data/calendar.csv.gz,206,True,4663363,True,,na,1Q26,True,True
chicago,2026-06-15,2026-06-24,local_listings,https://data.insideairbnb.com/united-states/il/chicago/2026-06-24/data/calendar.csv.gz,206,True,7660525,True,,na,2Q26,True,True
chicago,2026-08-20,2026-08-27,local_listings,https://data.insideairbnb.com/united-states/il/chicago/2026-08-27/data/calendar.csv.gz,206,True,7727495,True,,na,3Q26,True,True
hong-kong,2025-09-15,2025-09-23,local_listings,https://data.insideairbnb.com/china/hk/hong-kong/2025-09-23/data/calendar.csv.gz,206,True,5701352,True,,apac,3Q25,True,True
hong-kong,2025-12-15,2025-12-27,cdn_probe,https://data.insideairbnb.com/china/hk/hong-kong/2025-12-27/data/calendar.csv.gz,206,True,5723493,False,,apac,4Q25,True,True
hong-kong,2026-03-15,2026-03-29,cdn_probe,https://data.insideairbnb.com/china/hk/hong-kong/2026-03-29/data/calendar.csv.gz,206,True,1811148,False,,apac,1Q26,True,True
hong-kong,2026-06-15,2026-06-27,local_listings,https://data.insideairbnb.com/china/hk/hong-kong/2026-06-27/data/calendar.csv.gz,206,True,5592542,True,,apac,2Q26,True,True
hong-kong,2026-08-20,2026-08-28,local_listings,https://data.insideairbnb.com/china/hk/hong-kong/2026-08-28/data/calendar.csv.gz,206,True,5490768,True,,apac,3Q26,True,True
