quarter,tr_us_airbnb_yoy,tr_us_vrbo_yoy,tr_us_expedia_yoy,tr_us_booking_yoy,tr_us_peers4_yoy,tr_us_share_airbnb_vs_peers,tr_us_share_yoy_pts,tr_us_airbnb_minus_peers_yoy,tr_us_hotel_yoy,tr_us_airbnb_minus_hotel_yoy,tr_us_airbnb_near_me_yoy,tr_us_hotels_near_me_yoy,tr_us_vacation_rental_yoy,tr_us_near_me_ratio_yoy,tr_ww_airbnb_yoy,tr_ww_vrbo_yoy,tr_ww_expedia_yoy,tr_ww_booking_yoy,tr_ww_peers4_yoy,tr_ww_share_airbnb_vs_peers,tr_ww_share_yoy_pts,tr_ww_airbnb_minus_peers_yoy,tr_ww_hotel_yoy,tr_ww_airbnb_minus_hotel_yoy,tr_ww_airbnb_near_me_yoy,tr_ww_hotels_near_me_yoy,tr_ww_vacation_rental_yoy,tr_ww_near_me_ratio_yoy,tr_us_airbnb_yoy_d1,tr_us_vrbo_yoy_d1,tr_us_expedia_yoy_d1,tr_us_booking_yoy_d1,tr_us_peers4_yoy_d1,tr_us_share_yoy_pts_d1,tr_us_airbnb_minus_peers_yoy_d1,tr_us_hotel_yoy_d1,tr_us_airbnb_minus_hotel_yoy_d1,tr_us_airbnb_near_me_yoy_d1,tr_us_hotels_near_me_yoy_d1,tr_us_vacation_rental_yoy_d1,tr_us_near_me_ratio_yoy_d1,tr_ww_airbnb_yoy_d1,tr_ww_vrbo_yoy_d1,tr_ww_expedia_yoy_d1,tr_ww_booking_yoy_d1,tr_ww_peers4_yoy_d1,tr_ww_share_yoy_pts_d1,tr_ww_airbnb_minus_peers_yoy_d1,tr_ww_hotel_yoy_d1,tr_ww_airbnb_minus_hotel_yoy_d1,tr_ww_airbnb_near_me_yoy_d1,tr_ww_hotels_near_me_yoy_d1,tr_ww_vacation_rental_yoy_d1,tr_ww_near_me_ratio_yoy_d1,tr_us_level_airbnb,tr_us_level_booking.com,tr_us_level_expedia,tr_us_level_hotels.com,tr_us_level_vrbo,tr_us_level_share,tr_ww_level_airbnb,tr_ww_level_booking.com,tr_ww_level_expedia,tr_ww_level_hotels.com,tr_ww_level_vrbo,tr_ww_level_share
2019Q1,,,,,,41.37353433835846,,,,,,,,,,,,,,55.739644970414204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,4.461538461538462,48.46153846153846,3.4615384615384617,24.384615384615383,41.37353433835846,72.46153846153847,10.923076923076923,34.38461538461539,2.6923076923076925,9.538461538461538,55.739644970414204
2019Q2,,,,,,44.54877412623892,,,,,,,,,,,,,,58.0392156862745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.6923076923077,4.538461538461538,48.23076923076923,4.076923076923077,24.923076923076923,44.54877412623892,79.6923076923077,12.538461538461538,32.84615384615385,2.923076923076923,9.307692307692308,58.0392156862745
2019Q3,,,,,,47.53914988814317,,,,,,,,,,,,,,60.033259423503324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.38461538461539,3.8461538461538463,43.76923076923077,3.6923076923076925,20.846153846153847,47.53914988814317,83.3076923076923,12.692307692307692,31.846153846153847,2.8461538461538463,8.076923076923077,60.033259423503324
2019Q4,,,,,,47.1039776692254,,,,,,,,,,,,,,60.25991792065663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.92307692307692,2.769230769230769,37.69230769230769,3.0,14.846153846153847,47.1039776692254,67.76923076923077,9.615384615384615,26.923076923076923,2.0,6.153846153846154,60.25991792065663
2020Q1,0.6747638326585648,-12.933753943217663,-16.03174603174603,-32.758620689655174,-16.095238095238095,45.85125998770744,4.477725649348979,16.770001927896658,8.91647855530473,-8.302981622789396,59.036144578313255,-5.9701492537313605,-17.53155680224403,69.1336775674125,-9.129511677282398,-12.096774193548377,-21.700223713646537,-17.6056338028169,-19.6524064171123,58.750857927247765,3.0112129568335644,10.522894739829901,-12.287712287712294,4.287712287712287,63.13868613138687,0.15552099533437946,-11.22071516646116,62.885365190189056,,,,,,,,,,,,,,,,,,,,,,,,,,,57.38461538461539,3.0,40.69230769230769,2.8461538461538463,21.23076923076923,45.85125998770744,65.84615384615384,9.0,26.923076923076923,1.9230769230769231,8.384615384615385,58.750857927247765
2020Q2,-11.358313817330213,-8.024691358024693,-62.04146730462521,-54.23728813559321,-44.873000940733775,56.366344005956805,11.817569879717887,33.51468712340356,-30.57517658930373,18.93496494909209,84.30379746835443,-17.159763313609467,20.220082530949114,122.48101265822785,-35.32818532818533,-6.611570247933896,-68.61826697892272,-63.190184049079754,-57.14285714285714,67.60847628657922,9.56926060030472,21.81467181467181,-53.07835820895522,18.844123974720986,64.4927536231884,-23.01790281329923,16.60470879801734,113.67663344407535,-12.033077649988778,4.90906258519297,-46.009721272879176,-21.478667445938036,-28.77776284549568,7.339844230368907,16.744685195506904,-39.49165514460846,27.237946571881487,25.267652890041177,-11.189614059878107,37.75163933319314,53.34733509081535,-26.19867365090293,5.485203945614481,-46.91804326527618,-45.58455024626285,-37.490450725744836,6.558047643471156,11.29177707484191,-40.79064592124293,14.5564116870087,1.354067491801537,-23.173423808633608,27.825423964478503,50.791268253886294,58.23076923076923,2.076923076923077,18.307692307692307,1.7692307692307692,22.923076923076923,56.366344005956805,51.53846153846154,4.615384615384615,10.307692307692308,1.0769230769230769,8.692307692307692,67.60847628657922
2020Q3,4.23529411764707,19.188191881918826,-50.96660808435852,-26.0,-28.678038379530925,56.97749196141479,9.438342073271622,32.913332497178,-8.350305498981669,12.65138076779887,123.42995169082127,7.8286558345642465,27.596899224806215,107.20832506121374,-16.343490304709142,19.047619047619047,-61.59420289855073,-38.18181818181819,-44.382801664355064,69.31905126243306,9.285791838929736,28.03931135964592,-28.388746803069054,12.009436458241463,98.55371900826444,1.7010935601458055,8.438287153652379,95.23262932353838,15.593607934977284,27.21288323994352,11.074859220266688,28.23728813559321,16.19496256120285,-2.3792278064462646,-0.6013546262255645,22.22487109032206,-6.283584181293222,39.12615422246684,24.988419148173712,7.376816693857101,-15.272687597014112,18.984695023476185,25.65918929555294,7.024064080371986,25.008365867261567,12.760055478502075,-0.28346876137498356,6.22463954497411,24.68961140588617,-6.834687516479523,34.06096538507603,24.718996373445037,-8.166421644364963,-18.444004120536974,68.15384615384616,2.8461538461538463,21.46153846153846,2.3076923076923075,24.846153846153847,56.97749196141479,69.6923076923077,7.846153846153846,12.23076923076923,1.1538461538461537,9.615384615384615,69.31905126243306
2020Q4,-1.0370370370370252,5.699481865284972,-50.0,-27.77777777777778,-34.564643799472286,57.388316151202744,10.284338481977345,33.52760676243526,-19.82758620689655,19.82758620689655,71.27659574468086,8.720930232558132,0.20746887966804906,57.537831380134264,-32.349602724177075,-8.750000000000014,-64.57142857142857,-56.00000000000001,-54.38898450946643,69.22183507549362,8.961917154836986,22.039381785289358,-42.063492063492056,10.148598446470778,45.41284403669723,-4.486251808972508,-23.668639053254438,52.24284125660272,-5.272331154684096,-13.488710016633853,0.9666080843585192,-1.7777777777777786,-5.886605419941361,0.845996408705723,0.614274265257265,-11.477280707914883,7.176205439097682,-52.15335594614041,0.8922743979938854,-27.389430345138166,-49.67049368107948,-16.006112419467932,-27.79761904761906,-2.977225672877836,-17.81818181818182,-10.006182845111368,-0.32387468409275044,-5.999929574356564,-13.674745260423002,-1.860838011770685,-53.14087497156721,-6.187345369118313,-32.10692620690682,-42.98978806693565,51.38461538461539,2.0,18.846153846153847,1.6153846153846154,15.692307692307692,57.388316151202744,45.84615384615385,4.230769230769231,9.538461538461538,1.0,5.615384615384615,69.22183507549362
2021Q1,20.64343163538873,30.072463768115966,-29.67863894139886,0.0,-9.194097616345054,52.941176470588225,7.089916482880787,29.837529251733784,-6.424870466321231,27.766333880955397,116.41414141414144,57.14285714285714,28.06122448979591,37.71808999081727,-16.238317757009334,16.51376146788992,-53.714285714285715,-50.427350427350426,-40.099833610648915,66.57381615598887,7.822958228741095,23.86151585363958,-32.232346241457854,13.754085371892643,81.65548098434003,29.81366459627328,0.0,39.93556190659686,21.680468672425754,24.372981902830993,20.32136105860114,27.77777777777778,25.37054618312723,-3.1944219990965586,-3.690077510701478,13.40271574057532,7.938747674058845,45.13754566946058,48.42192691029901,27.853755610127862,-19.819741389316995,16.11128496716774,25.263761467889935,10.857142857142854,5.572649572649581,14.289150898817518,-1.1389589260958903,1.8221340683502234,9.831145822034202,3.6054869254218644,36.2426369476428,34.29991640524579,23.668639053254438,-12.307279350005864,69.23076923076923,3.0,28.615384615384617,2.3076923076923075,27.615384615384617,52.941176470588225,55.15384615384615,4.461538461538462,12.461538461538462,1.0,9.76923076923077,66.57381615598887
2021Q2,28.92998678996037,23.82550335570468,115.1260504201681,111.11111111111111,67.23549488054607,49.897750511247445,-6.468593494709357,-38.305508090585704,67.15116279069771,-38.408647820637825,32.280219780219774,68.57142857142856,-2.2883295194507935,-21.52868318122554,30.298507462686587,20.353982300884965,66.41791044776117,65.00000000000001,47.975077881619896,64.7626112759644,-2.845865010614823,-17.67657041893331,52.48508946322068,-25.08782918924806,33.0396475770925,55.31561461794019,-15.51540913921361,-14.342387335390717,8.28655515457164,-6.246960412411287,144.80468936156694,111.11111111111111,76.42959249689113,-13.558509977590145,-68.14303734231949,73.57603325701893,-66.17498170159323,-84.13392163392166,11.428571428571416,-30.349554009246706,-59.24677317204281,46.53682521969592,3.840220832995044,120.13219616204688,115.42735042735043,88.07491149226881,-10.668823239355918,-41.53808627257289,84.71743570467854,-38.8419145611407,-48.61583340724753,25.50195002166691,-15.51540913921361,-54.27794924198758,75.07692307692308,4.384615384615385,39.38461538461539,3.230769230769231,28.384615384615383,49.897750511247445,67.15384615384616,7.615384615384615,17.153846153846153,1.3076923076923077,10.461538461538462,64.7626112759644
