window,draw,weight_0,weight_1,weight_2,weight_3,lambda_Q1,lambda_Q2,lambda_Q3,lambda_Q4
W1,0,0.6391627541828043,0.2274478563521237,0.1153210681927233,0.01806832127234872,0.10152406951200432,0.1346346972917642,0.17690661694768506,0.13019112896881366
W1,1,0.2924289061611244,0.1909860524777099,0.5165850413611658,4.6590948002049284e-21,0.1089404588242367,0.15030262826481805,0.17246457838270723,0.12370476002526974
W1,2,0.2922090635463281,0.23884235051042968,0.4689485859432421,0.0,0.11022398551177805,0.1476121345013564,0.17326296802334132,0.12397308029124335
W1,3,0.0047906840276413605,0.0,0.9624404404464318,0.03276887552592684,0.11660600397693195,0.17579136768968104,0.16447794044107086,0.11743972430264542
W1,4,0.4603685796461705,0.0,0.5396314203538295,4.5144614971716514e-20,0.10344887848871819,0.1525820887339597,0.17241944027085612,0.126129110145113
W1,5,0.33725595533467895,0.05807692114590027,0.6046671235194209,3.1109826500346255e-17,0.10767948942043681,0.1554420856527043,0.17175149044274954,0.12442169510291841
W1,6,0.412762023348576,1.0861356347698514e-17,0.587237976651424,0.0,0.10504520376525492,0.15465404389545842,0.17169014717947056,0.12547608779132563
W1,7,0.0047906840276413605,0.0,0.9624404404464318,0.03276887552592684,0.11660600397693195,0.17579136768968104,0.16447794044107086,0.11743972430264542
W1,8,0.0047906840276413605,0.0,0.9624404404464318,0.03276887552592684,0.11660600397693195,0.17579136768968104,0.16447794044107086,0.11743972430264542
W1,9,0.36892947963934686,0.05273014843055227,0.5783403719301009,1.3764698983188657e-20,0.10596620312765437,0.15427788680294457,0.17233353805162763,0.12487217145545748
W1,10,0.5,0.3,0.15,0.05,0.10421324161650902,0.13419773095623988,0.18197401901700816,0.13083615985842795
W1,11,0.22570001701249806,0.3557763435830533,0.41852363940444864,1.4823076576950256e-20,0.11566199665341033,0.1426490692072475,0.1732088816881099,0.12368380142126782
W1,12,0.4042918468325968,0.008933545147399864,0.5867746080200034,0.0,0.10493770094443304,0.15500486255099108,0.17216253706520934,0.12534064171883677
W1,13,0.33725595533467895,0.05807692114590027,0.6046671235194209,3.1109826500346255e-17,0.10767948942043681,0.1554420856527043,0.17175149044274954,0.12442169510291841
W1,14,0.6392192824281621,0.2275428226100858,0.1150816661514012,0.018156228810351054,0.10152324103961108,0.13462733814871747,0.17691182995239707,0.13019385996309008
W1,15,0.2922090635463281,0.23884235051042968,0.4689485859432421,0.0,0.11022398551177805,0.1476121345013564,0.17326296802334132,0.12397308029124335
W1,16,0.43404965231931947,0.0,0.5659503476806806,4.618734962539816e-17,0.1041827089860876,0.15328386087927368,0.17205384019234854,0.12576401073708682
W1,17,0.33725595533467895,0.05807692114590027,0.6046671235194209,3.1109826500346255e-17,0.10767948942043681,0.1554420856527043,0.17175149044274954,0.12442169510291841
W1,18,0.4032245063633704,0.0,0.5967754936366296,0.0,0.10436838367846842,0.15525406846685003,0.17193218894995674,0.12514231516319035
W1,19,0.21991664551014845,0.35402524974727945,0.4260581047425721,2.0328790734103208e-20,0.11641050534928601,0.1423767992131362,0.17255636035436323,0.12372434049698768
W1,20,0.3427391826357362,2.0147601761543154e-18,0.6572608173642638,2.1964765532878693e-17,0.10703115652461057,0.15853928095735023,0.17075383162870525,0.12419335900111127
W1,21,0.5,0.3,0.15,0.05,0.10421324161650902,0.13419773095623988,0.18197401901700816,0.13083615985842795
W1,22,0.3016038457688482,0.17169130899744475,0.5267048452337072,0.0,0.1099556057495004,0.15049477041329395,0.1728490222948078,0.12423392896031486
W1,23,0.36892947963934686,0.05273014843055227,0.5783403719301009,1.3764698983188657e-20,0.10596620312765437,0.15427788680294457,0.17233353805162763,0.12487217145545748
W1,24,0.2922090635463281,0.23884235051042968,0.4689485859432421,0.0,0.11022398551177805,0.1476121345013564,0.17326296802334132,0.12397308029124335
