quarter,region,share_p10,share_p50,share_p90,nights_p10,nights_p90,adr_p10,adr_p90
2022Q1,na,33.954386706036466,36.18605721548398,38.291024498953604,34.66742882686323,39.09513601343162,215.61102563618016,252.5192965290351
2022Q1,emea,39.90027711230624,42.078429728827416,42.73845243984968,40.73818293166467,43.63595994108652,107.51461608838997,143.4679190057794
2022Q1,latam,12.607380230269227,13.01337913635787,13.31310925177128,12.87213521510488,13.592684546058475,114.21705790957373,147.67581691731917
2022Q1,apac,8.664642506785682,8.912377011150896,10.147947572545625,8.846599999428179,10.361054471569082,143.18304093419405,166.0539844763262
2022Q2,na,33.79619208657911,34.39429175022004,35.94141797544904,35.04665119378254,37.271250440540655,193.44352815048796,246.22567493618794
2022Q2,emea,41.80458049654361,42.83201715347578,43.70523721579159,43.35134997491572,45.32233099277588,137.45882829181545,183.83797379516386
2022Q2,latam,12.002289670460721,12.678198338310745,13.246864158742216,12.446374388267767,13.73699813261568,60.45825181138691,80.99719091655457
2022Q2,apac,9.657541266479978,9.869378675139004,10.218797712177023,10.014870293339735,10.596893227527573,89.41625483571214,103.60256194279013
2022Q3,na,31.00620725915998,32.61770702780421,33.59430408592221,30.9131886373825,33.49352117366445,161.86766564300137,232.61444019953737
2022Q3,emea,42.69751863560602,43.20741463325791,44.34753346872217,42.569426079699205,44.214490868316,159.70909753465867,208.56097270074457
2022Q3,latam,13.340987766252669,13.666107354479589,14.182583777636715,13.30096480295391,14.140036026303806,37.09081907790563,50.63120885949402
2022Q3,apac,10.327041638533276,10.431298239842342,10.677941679406574,10.296060513617675,10.645907854368355,63.96042128681621,76.54633705665066
2022Q4,na,31.253357772922225,32.33382135377306,33.2914303487539,27.565461555717402,29.363041567600938,192.52413367359506,257.1890989451211
2022Q4,emea,42.015966396573994,42.59882655420979,43.491643881682634,37.05808236177827,38.35962990364409,110.10111143098665,146.61412011595365
2022Q4,latam,13.256425662805144,14.155385507213502,14.807264705875994,11.692167434594136,13.060007470582628,74.36985151671607,104.47248887770473
2022Q4,apac,10.562043416548525,10.97640404217474,11.219244121176223,9.3157222933958,9.895373314877428,118.7447047687592,144.78324033829526
2023Q1,na,32.493900723891436,33.27350322465491,35.2262909567757,39.35011377663253,42.65903834865537,219.6157560512592,259.5800090809383
2023Q1,emea,40.52080592050911,42.469743814926616,43.274539553595055,49.07069596973653,52.405467399403605,107.67263372667836,139.5401781856638
2023Q1,latam,12.833398287813289,13.324991291220279,13.544369381089838,15.54124532654189,16.402231320499794,123.09474950962851,155.53472775384606
2023Q1,apac,10.616474549788418,11.000165634351038,11.207373395570084,12.856550679793774,13.57212918203537,142.10945534754742,172.89622656622
2023Q2,na,32.25064858729992,32.68698223685754,33.73421250171509,37.120496523982204,38.828078589474075,190.03424148815094,244.75157145518105
2023Q2,emea,41.828415265313375,42.282146264725185,43.48987195804737,48.14450597037569,50.05684262371251,151.8986051128998,197.77945714054482
2023Q2,latam,13.11475413033307,13.613577880770283,14.095974354617299,15.095082004013362,16.224466482164512,57.46611935489174,74.59228325589378
2023Q2,apac,10.73789713835719,10.986166255804461,11.116040270681946,12.359319606249127,12.79456235155492,92.45887940364966,107.79274714932248
2023Q3,na,31.166862325249834,32.73582944391975,33.30297172375128,35.28088815218281,37.69896399128645,158.36822627814436,225.91598641874873
2023Q3,emea,40.16128490090746,40.69649907296214,41.73569079567062,45.46257450782724,47.244801980699144,181.50031437295576,233.8354133858055
2023Q3,latam,14.773699431368733,14.988182631638283,15.538656329725614,16.723827756309404,17.5897589652494,38.262624806119135,52.08213201743301
2023Q3,apac,11.49864097292399,11.658467608042505,11.896683688871414,13.016461581349958,13.46704593580244,66.60177037658701,80.17942943288433
2023Q4,na,29.926114344072836,31.086765085640078,31.603118335558527,29.56700097194396,31.223880915531826,191.48558975434992,254.93482212272988
2023Q4,emea,40.601647852882074,41.39838168344498,42.23437811212772,40.114428078647485,41.72756557478219,122.17721076543816,159.11383326635453
2023Q4,latam,15.174776765164246,15.706922875453188,16.354152676463208,14.992679443982276,16.157902844345646,78.87924249030846,110.83683710819352
2023Q4,apac,11.832149352261675,12.001914425274654,12.192237329605259,11.690163560034534,12.045930481649995,119.85598557359206,142.93814487565461
2024Q1,na,30.713537507887708,31.12549806507039,32.416596742648764,40.7261507354591,42.98440728075226,224.7684022181054,266.6863469527687
2024Q1,emea,40.42341393854613,42.19320043083743,44.28840543368196,53.601446882512164,58.726425605062275,117.05086039573509,145.81282690023377
