quarter,gbv_assumed_musd,theta_case,theta_label,lambda_q3_mean,lambda_q3_sd,kernel_base_musd,revenue_no_fee_musd,revenue_with_fee_musd,printed_take_rate_pct,take_rate_sd_pp,p_ge_18_10,p_le_17_88,take_rate_no_fee_pct
2026Q3,26000.0,lo,11.5 pp modal jump,17.239361851242435,0.1323888064344097,27866.666666666664,4804.035502546225,4819.526025788544,18.53663856072517,0.3971229599425091,0.8642260073602273,0.049115662097307985,18.477059625177787
2026Q3,26000.0,central,theta 0.833 (Austin),17.239361851242435,0.1323888064344097,27866.666666666664,4804.035502546225,4838.447308063177,18.609412723319913,0.3986820501066878,0.8993297605794119,0.03365788137473861,18.477059625177787
2026Q3,26000.0,hi,theta = 1 UPPER BOUND,17.239361851242435,0.1323888064344097,27866.666666666664,4804.035502546225,4900.621423890352,18.848543938039814,0.40380512004696395,0.9681107951476591,0.008230222193102878,18.477059625177787
2026Q3,26185.0,lo,11.5 pp modal jump,17.239361851242435,0.1323888064344097,27866.666666666664,4804.035502546225,4819.526025788544,18.405675103259668,0.3943172411115233,0.7808895390442772,0.09124500581105921,18.346517099660968
2026Q3,26185.0,central,theta 0.833 (Austin),17.239361851242435,0.1323888064344097,27866.666666666664,4804.035502546225,4838.447308063177,18.477935108127465,0.39586531612655645,0.8301368764796299,0.06546420931506702,18.346517099660968
2026Q3,26185.0,hi,theta = 1 UPPER BOUND,17.239361851242435,0.1323888064344097,27866.666666666664,4804.035502546225,4900.621423890352,18.715376833646562,0.4009521909956488,0.9375821124370647,0.0186036371058737,18.346517099660968
2026Q3,26300.0,lo,11.5 pp modal jump,17.239361851242435,0.1323888064344097,27866.666666666664,4804.035502546225,4819.526025788544,18.32519401440511,0.39259304024734737,0.7168830254893821,0.12840074289670872,18.266294686487548
2026Q3,26300.0,central,theta 0.833 (Austin),17.239361851242435,0.1323888064344097,27866.666666666664,4804.035502546225,4838.447308063177,18.397138053472155,0.39413434611307535,0.7745454941588135,0.09474560415325062,18.266294686487548
2026Q3,26300.0,hi,theta = 1 UPPER BOUND,17.239361851242435,0.1323888064344097,27866.666666666664,4804.035502546225,4900.621423890352,18.63354153570476,0.39919897799319637,0.909312000599953,0.029537555871273657,18.266294686487548
2026Q3,26500.0,lo,11.5 pp modal jump,17.239361851242435,0.1323888064344097,27866.666666666664,4804.035502546225,4819.526025788544,18.186890663352994,0.38963007390585797,0.5882353996880002,0.2154518292656884,18.128435858665
2026Q3,26500.0,central,theta 0.833 (Austin),17.239361851242435,0.1323888064344097,27866.666666666664,4804.035502546225,4838.447308063177,18.25829172854029,0.3911597472744861,0.657140998086037,0.16674629631099147,18.128435858665
2026Q3,26500.0,hi,theta = 1 UPPER BOUND,17.239361851242435,0.1323888064344097,27866.666666666664,4804.035502546225,4900.621423890352,18.4929110335485,0.396186155517776,0.8393361973864328,0.060928259855655524,18.128435858665
2026Q3,26800.0,lo,11.5 pp modal jump,17.239361851242435,0.1323888064344097,27866.666666666664,4804.035502546225,4819.526025788544,17.983306066375164,0.38526854322780735,0.38098690105526234,0.3942956196012487,17.925505606515763
2026Q3,26800.0,central,theta 0.833 (Austin),17.239361851242435,0.1323888064344097,27866.666666666664,4804.035502546225,4838.447308063177,18.053907865907377,0.38678109338708516,0.4525709194291908,0.3264891084585475,17.925505606515763
2026Q3,26800.0,hi,theta = 1 UPPER BOUND,17.239361851242435,0.1323888064344097,27866.666666666664,4804.035502546225,4900.621423890352,18.285900835411763,0.3917512358664576,0.6824418352163203,0.1500733523241679,17.925505606515763
