quarter,base_m,base_yoy,dec,decomposition,street_m,street_yoy,street_low_m,street_high_m,street_n,base_minus_street_m,base_minus_street_pp,v2_read_yoy,v2_band_pp,v2_read_m,v2_lo_m,v2_hi_m,street_z_vs_v2,p_print_at_or_above_street,p_print_at_or_above_street_low,p_print_at_or_above_base,street_z_vs_v2_band
3Q26,146.8,9.886,DEC-0029,0.288 x NA +5.60 + 0.712 x ex-NA +11.62 (mechanism),149.0,11.526946107784442,147.0,151.0,28.0,-2.1999999999999886,-1.6409461077844423,9.347410466894981,1.8821519394251673,146.08814038377167,143.57358539269967,148.60269537484373,1.15800196319704,0.12343161762933419,0.3584396768734235,0.3873792269095925,
4Q26,131.8,8.12,DEC-0019,reference +8.90 - 0.78 ex-NA fee-and-cancellation lap,134.0,9.926168990976203,,,,-2.1999999999999886,-1.8061689909762038,,,,,,,,,,0.9596297478129371
1Q27,169.02,8.21,DEC-0025,0.291 x NA +2.31 + 0.709 x ex-NA +10.773 - 0.742 fee/cancel lap - 0.363 ex-NA RNPL lap (40%) + 1.0 event,,,,,,,,,,,,,,,,,
2Q27,157.1,5.93,DEC-0025,0.291 x NA +2.31 + 0.709 x ex-NA +10.452 - 0.742 - 0.907 ex-NA RNPL lap (full) - 0.5 World Cup lap,,,,,,,,,,,,,,,,,
3Q27,155.96,6.23,DEC-0025,0.291 x NA +2.31 + 0.709 x ex-NA +10.131 - 0.742 - 0.907,,,,,,,,,,,,,,,,,
4Q27,139.77,6.05,DEC-0025,0.291 x NA +2.31 + 0.709 x ex-NA +9.810 - 0.742 - 0.907,,,,,,,,,,,,,,,,,
FY26,583.11,,DEC-0029/0019,1Q26 156.2 + 2Q26 148.3 + 3Q26 146.8 + 4Q26 131.8,,,,,,,,,,,,,,,,,
FY27,621.84,6.64,DEC-0025,sum of the four 2027 quarters over FY26 583.11,,,,,,,,,,,,,,,,,
