quarter,scenario,horizon_q,revenue_musd,cor_cash_musd,ops_cash_musd,pd_cash_musd,sm_cash_musd,ga_cash_musd,total_cash_costs_musd,adj_ebitda_musd,adj_ebitda_margin_pct,margin_q10,margin_q90,margin_q05,margin_q95,ebitda_q10,ebitda_q90,sbc_musd,da_musd,op_income_musd,op_margin_pct,interest_income_musd,interest_expense_musd,other_income_musd,pretax_income_musd,tax_rate_pct,tax_provision_musd,net_income_musd,diluted_shares_m,eps_diluted_gaap,eps_street_def,eps_q10,eps_q90,cfo_musd_diagnostic,capex_musd,fcf_musd_diagnostic,fcf_margin_pct_diagnostic
2026Q3,base,0,4804.0355,617.4248791049705,364.80540374915,382.13177873663466,790.2398152649166,282.8162050025537,2404.9030976115578,2399.132402388442,49.93993908638773,47.859674372310245,52.02020380046522,47.33946426099002,52.54041391178544,2299.1957470301863,2499.069057746698,451.5791856610708,20.63397059990752,1926.9192461274638,40.110428953480124,183.66516282092425,37.0,3.707412112603224,2077.2918210609914,18.0,373.91252779097846,1703.379293270013,591.6758133819055,2.8789064125062396,2.8789064125062396,2.7404047946601926,3.017408030352287,1001.1586768673133,8.929320995781959,992.2293558715313,20.65408042616528
2026Q4,base,1,3178.1078,543.8839154594368,318.2894504254017,375.7219392474648,771.2996576642566,272.0314129763893,2259.7161007029144,918.391699297086,28.897437,26.297586348664435,31.497287651335565,24.69230833590941,33.10256566409059,835.7656429586398,1001.0177556355325,465.1605145531331,20.63397059990752,432.5972141440453,13.611785419740807,169.8969404377947,37.0,3.707412112603224,569.2015666944433,18.0,102.45628200499978,466.7452846894435,586.351626763811,0.7960160139155779,0.7960160139155779,0.6804652708035136,0.911566757027642,889.8846545931908,8.929320995781959,880.9553335974089,27.71949188121966
2027Q1,base,2,3053.1293,644.0082604379614,316.380655663393,421.980478094075,857.9924216597727,238.98083107884534,2458.6782594430433,594.4510405569569,19.47022160368239,15.58174442883745,23.35869877852733,14.922885036937787,24.017558170426994,475.7308046079538,713.1712765059601,464.02873714546126,20.63397059990752,109.78833281158802,3.5959280470561144,185.05646744901395,37.0,3.707412112603224,261.5522123732052,17.5,45.771637165310906,215.7805752078943,581.0274401457166,0.3713775981970463,0.3713775981970463,0.202806911357602,0.5399482850364905,1824.0661401984007,8.929320995781959,1815.1368192026187,59.45168516782498
2027Q2,base,3,4028.9807,688.1674688605063,334.0450646878938,422.2037337233075,998.4866996564671,242.0473071245772,2657.6810659066778,1371.2996340933225,34.035894837950515,30.147417663105575,37.92437201279545,29.48855827120591,38.58323140469512,1214.6336391949146,1527.9656289917305,551.1755975361942,20.63397059990752,799.4900659572207,19.84348214815774,208.2425784616941,37.0,3.707412112603224,974.440056531518,17.5,170.52700989301565,803.9130466385025,575.7032535276221,1.3964017776736968,1.3964017776736968,1.1718947160942972,1.6209088392530964,1500.2118055427393,8.929320995781959,1491.2824845469572,37.01389000317021
2027Q3,base,4,5280.7325,671.6252746940066,378.0824832694792,433.0236610262107,978.666306104484,304.3121731691063,2729.9685025037497,2550.7639974962503,48.303223037642034,44.4147458627971,52.19170021248697,43.75588647089743,52.85055960438664,2345.423919569132,2756.1040754233686,511.0871201060549,20.63397059990752,2019.0429067902878,38.23414472879071,196.2287312110724,37.0,3.707412112603224,2181.9790501139637,17.5,381.8463337699436,1800.13271634402,570.3790669095276,3.1560287198084596,3.1560287198084596,2.859023492727179,3.4530339468897395,1044.1831356026446,8.929320995781959,1035.2538146068625,19.6043600884321
2027Q4,base,5,3465.7641,587.0414290476064,329.43693355398943,419.16393056868594,904.6316065250903,282.13227672781426,2498.9489673509042,966.8151326490954,27.896160983636925,24.007683808791985,31.784638158481865,23.34882441689232,32.44349755038153,832.0496866866253,1101.5805786115654,526.458161312252,20.63397059990752,419.7230007369359,12.110547302885847,175.7070731323778,37.0,3.707412112603224,562.1374859819169,17.5,98.37406004683545,463.7634259350815,565.0548802914333,0.820740501694084,0.820740501694084,0.6239782104601869,1.017502792927981,950.1638541449172,8.929320995781959,941.2345331491352,27.15806690793338
2026Q3,bear,0,4755.0,604.3863721850661,361.274873526688,381.644675828227,783.1424187414528,282.0906551601825,2380.3558964422637,2374.6441035577363,49.93993908638773,47.859674372310245,52.02020380046522,47.33946426099002,52.54041391178544,2275.727516403352,2473.560690712121,451.5791856610708,20.63397059990752,1902.430947296758,40.00906303463213,182.78651300559324,37.0,3.707412112603224,2051.9248724149547,18.0,369.3464770346918,1682.578395380263,591.6758133819055,2.8437505088520814,2.8437505088520814,2.706662597478829,2.980838420225333,1006.6411428299577,8.929320995781959,997.7118218341758,20.982372698931144
2026Q4,bear,1,3123.807,537.2646813028805,318.0194939368866,373.2338728085202,745.4061583746096,268.3253866287196,2221.10684017341,902.7001598265899,28.897437,26.297586348664435,31.497287651335565,24.69230833590941,33.10256566409059,821.485843190624,983.9144764625559,465.1605145531331,20.63397059990752,416.90567467354924,13.346076587751718,168.4977746208063,37.0,3.707412112603224,552.1108614069589,18.0,99.37995505325259,452.73090635370625,586.351626763811,0.7721150342029686,0.7721150342029686,0.6585385783669936,0.8856914900389435,874.3310932704113,8.929320995781959,865.4017722746294,27.703432775284437
2027Q1,bear,2,2995.1629,607.0804860675973,308.5343713625237,422.4089739505848,854.6271856388508,239.61908450698377,2411.99804597872,583.1648540212799,19.47022160368239,15.58174442883745,23.35869877852733,14.922885036937787,24.017558170426994,466.6986283053561,699.6310797372038,464.02873714546126,20.63397059990752,98.50214627591106,3.2887074781779337,181.05554969662137,37.0,3.707412112603224,246.26510808513567,17.5,43.09639391489874,203.1687141702369,581.0274401457166,0.3496714615049575,0.3496714615049575,0.1843012404504408,0.5150416825594741,1731.9042787087806,8.929320995781959,1722.9749577129985,57.52525038664837
2027Q2,bear,3,3803.7239,653.2131725418034,327.01663133257614,414.24871587322264,910.1603804647333,230.19814373925294,2509.0924334700103,1294.63146652999,34.035894837950515,30.147417663105575,37.92437201279545,29.48855827120591,38.58323140469512,1146.7245308843683,1442.5384021756117,551.1755975361942,20.63397059990752,722.8218983938881,19.00300645885176,201.22610621656324,37.0,3.707412112603224,890.7554167230546,17.5,155.88219792653456,734.8732187965201,575.7032535276221,1.276479183144413,1.276479183144413,1.0645241157378271,1.488434250550999,1411.162971171291,8.929320995781959,1402.233650175509,36.86475903720323
2027Q3,bear,4,4936.538,628.6058744865479,366.7949985087064,423.50190076005913,876.410747419989,290.1293145965999,2552.0310395220463,2384.5069604779533,48.303223037642034,44.4147458627971,52.19170021248697,43.75588647089743,52.85055960438664,2192.5508071204067,2576.4631138355,511.0871201060549,20.63397059990752,1852.7858697719907,37.532089690629164,189.74844371471664,37.0,3.707412112603224,2009.2417255993105,17.5,351.6173019798793,1657.6244236194311,570.3790669095276,2.906180327761503,2.906180327761503,2.6285336964115213,3.1838269591114843,973.5967522295487,8.929320995781959,964.6674312337667,19.541375580088044
2027Q4,bear,5,3212.9091,562.6212402791537,322.6925998696844,407.57075512813344,780.6280269406019,264.86400247141285,2316.6308052060795,896.2782947939203,27.896160983636925,24.007683808791985,31.784638158481865,23.34882441689232,32.44349755038153,771.3450577919043,1021.2115317959363,526.458161312252,20.63397059990752,349.18616288176077,10.86822415491807,170.90859886639117,37.0,3.707412112603224,486.8021738607552,17.5,85.19038042563216,401.61179343512305,565.0548802914333,0.7107482962150284,0.7107482962150284,0.5283413758934064,0.8931552165366505,880.3977848242246,8.929320995781959,871.4684638284426,27.123968861379943
2026Q3,bull,0,4878.0,629.3321899967984,367.6173183237593,383.8354382040923,808.8065794423092,285.35384096557607,2441.9297713660067,2436.0702286339933,49.93993908638773,47.859674372310245,52.02020380046522,47.33946426099002,52.54041391178544,2334.5949158812937,2537.545541386693,451.5791856610708,20.63397059990752,1963.857072373015,40.25947257837259,184.47140285971483,37.0,3.707412112603224,2115.0358873453333,18.0,380.70645972216,1734.3294276231734,591.6758133819055,2.9312156900754127,2.9312156900754127,2.7905816560735786,3.0718497240772473,1010.5956374119223,8.929320995781959,1001.6663164161404,20.53436483017918
2026Q4,bull,1,3227.9366,553.0066160756695,319.9522854214302,377.5901287952289,791.6300340124019,274.81411989212245,2295.145654615058,932.7909453849419,28.897437,26.297586348664435,31.497287651335565,24.69230833590941,33.10256566409059,848.8694146651429,1016.7124761047411,465.1605145531331,20.63397059990752,446.9964602319012,13.847745963532903,171.41239341316154,37.0,3.707412112603224,585.116265757666,18.0,105.32092783637988,479.79533792128615,586.351626763811,0.8182723744954374,0.8182723744954374,0.7009099386307289,0.935634810360146,903.7491407482985,8.929320995781959,894.8198197525165,27.721108888957623
2027Q1,bull,2,3119.9376,668.2599265394815,321.5455377087953,423.58086401855996,878.8444319043766,241.3646389666671,2512.47883538339,607.4587646166099,19.47022160368239,15.58174442883745,23.35869877852733,14.922885036937787,24.017558170426994,486.14070317120485,728.776826062015,464.02873714546126,20.63397059990752,122.79605687124103,3.9358497705608286,188.07141644571655,37.0,3.707412112603224,277.57488542956077,17.5,48.57560495017313,228.99928047938764,581.0274401457166,0.39412816789161736,0.39412816789161736,0.2218688324850863,0.5663875032981484,1891.0826903310185,8.929320995781959,1882.1533693352364,60.32663503703524
2027Q2,bull,3,4189.9054,719.3574533534245,340.9756419242195,427.1665166533505,1055.252906642833,249.43947479687856,2763.8336042463898,1426.0717957536096,34.035894837950515,30.147417663105575,37.92437201279545,29.48855827120591,38.58323140469512,1263.1482806270142,1588.9953108802054,551.1755975361942,20.63397059990752,854.2622276175078,20.38858031538153,213.7398267329539,37.0,3.707412112603224,1034.709466463065,17.5,181.07415663103635,853.6353098320286,575.7032535276221,1.4827696466910298,1.4827696466910298,1.2492953712620962,1.7162439221199635,1565.468292615051,8.929320995781959,1556.538971619269,37.149740221325025
2027Q3,bull,4,5559.9477,711.5486865276811,387.70530305743046,440.29543148444725,1057.251913332258,315.14362545293733,2874.3137616927515,2685.633938307248,48.303223037642034,44.4147458627971,52.19170021248697,43.75588647089743,52.85055960438664,2469.4366410594325,2901.8312355550643,511.0871201060549,20.63397059990752,2153.9128476012856,38.739804110051,202.1931324123908,37.0,3.707412112603224,2322.8133921262797,17.5,406.49234362209893,1916.321048504181,570.3790669095276,3.3597324300264755,3.3597324300264755,3.047023250154452,3.672441609898499,1088.8539257453413,8.929320995781959,1079.9246047495592,19.423287106631584
2027Q4,bull,5,3700.9529,614.6433553131775,337.16775312996054,429.45454166272935,1014.8521456362681,297.46035448779685,2668.529121087421,1032.4237789125793,27.896160983636925,24.007683808791985,31.784638158481865,23.34882441689232,32.44349755038153,888.5130701443175,1176.3344876808412,526.458161312252,20.63397059990752,485.3316470004198,13.113694232650728,180.5925969088229,37.0,3.707412112603224,632.631656021846,17.5,110.71053980382304,521.9211162180229,565.0548802914333,0.9236644694561993,0.9236644694561993,0.713549772857912,1.1337791660544867,1014.4014692886743,8.929320995781959,1005.4721482928924,27.167926084465773
