fx_estimator,quarter,err_last_q_pp,err_K_mech_central_pp,nudge_pp,sq_err_change,label
eur,1Q24,-2.0487547266613837,-2.0487547266613837,0.0,0.0,descriptive
eur,2Q24,-1.1178497879072622,-1.1178497879072622,0.0,0.0,descriptive
eur,3Q24,1.6648704612977454,1.6648704612977454,0.0,0.0,descriptive
eur,4Q24,-0.4732075980757404,-0.4732075980757404,0.0,0.0,descriptive
eur,1Q25,0.6829365469322466,0.6829365469322466,0.0,0.0,descriptive
eur,2Q25,0.42818749579418114,0.42818749579418114,0.0,0.0,descriptive
eur,3Q25,-1.1122907727661424,-1.1108347727661423,0.0014560000000001239,-0.0032368707942951325,descriptive
eur,4Q25,-0.08107644497043776,0.004687499014829122,0.08576394398526688,-0.006551417282030398,descriptive
eur,1Q26,-0.972730770944267,-0.9437500667295353,0.028980704214731645,-0.05554096428982558,descriptive
eur,2Q26,-0.8864917333051698,-0.8521458867023473,0.03434584660282258,-0.05971498099467476,descriptive
baskets,1Q24,-1.1807547266613836,-1.1807547266613836,0.0,0.0,descriptive
baskets,2Q24,-0.7028497879072622,-0.7028497879072622,0.0,0.0,descriptive
baskets,3Q24,1.5948704612977451,1.5948704612977451,0.0,0.0,descriptive
baskets,4Q24,-0.5182075980757403,-0.5182075980757403,0.0,0.0,descriptive
baskets,1Q25,0.15893654693224657,0.15893654693224657,0.0,0.0,descriptive
baskets,2Q25,-0.10481250420581922,-0.10481250420581922,0.0,0.0,descriptive
baskets,3Q25,-1.3872907727661428,-1.3858347727661426,0.0014560000000001239,-0.004037670794295289,descriptive
baskets,4Q25,-0.26607644497043825,-0.18031250098517138,0.08576394398526688,-0.03828407655657922,descriptive
baskets,1Q26,-0.358730770944268,-0.32975006672953455,0.02898070421473342,-0.01995265951413637,descriptive
baskets,2Q26,0.22350826669483048,0.25785411329765306,0.03434584660282258,0.016532798463591437,descriptive
midpoint,1Q24,-1.6147547266613835,-1.6147547266613835,0.0,0.0,descriptive
midpoint,2Q24,-0.9103497879072622,-0.9103497879072622,0.0,0.0,descriptive
midpoint,3Q24,1.6298704612977453,1.6298704612977453,0.0,0.0,descriptive
midpoint,4Q24,-0.4957075980757404,-0.4957075980757404,0.0,0.0,descriptive
midpoint,1Q25,0.4209365469322466,0.4209365469322466,0.0,0.0,descriptive
midpoint,2Q25,0.16168749579418096,0.16168749579418096,0.0,0.0,descriptive
midpoint,3Q25,-1.2497907727661426,-1.2483347727661425,0.0014560000000001239,-0.003637270794295322,descriptive
midpoint,4Q25,-0.17357644497043712,-0.08781250098517113,0.08576394398526599,-0.022417746919304503,descriptive
midpoint,1Q26,-0.6657307709442684,-0.6367500667295332,0.028980704214735198,-0.03774681190198498,descriptive
midpoint,2Q26,-0.3314917333051701,-0.29714588670234665,0.03434584660282347,-0.021591091265542206,descriptive
