"year","source_market","gender_male","gender_female","age_rank_18_24","age_rank_25_34","age_rank_35_44","age_rank_45_54","age_rank_55_65_and_above","length_of_stay_days","length_of_stay_nights","length_of_stay_paid_accommodation","divs_visit_purpose_leisure","divs_visit_purpose_business","divs_visit_purpose_independent_business","divs_visit_purpose_mice","divs_visit_purpose_vfr"
"2019","Overall","0.52","0.48","0.03","0.35","0.36","0.17","0.09","8.00","7.40","4.50","0.75","0.14","0.04","0.10","0.10"
"2020","Overall","0.52","0.48","0.04","0.37","0.38","0.14","0.07","9.70","9.00","5.60","0.74","0.12","0.05","0.07","0.13"
"2021","Australia+New Zealand","0.50","0.50","0.03","0.34","0.38","0.18","0.07","8.10","7.40","5.20","0.67","0.17","0.02","0.15","0.15"
"2021","Bahrain","0.55","0.45","0.02","0.37","0.42","0.12","0.07","6.30","5.50","5.00","0.68","0.24","0.06","0.18","0.07"
"2021","China","0.61","0.39","0.02","0.59","0.35","0.04",null,"16.30","15.40","12.40","0.49","0.26","0.14","0.12","0.25"
"2021","CIS: Azerbaijan and Kazakhstan","0.48","0.52","0.06","0.61","0.27","0.05","0.01","8.30","7.40","6.80","0.96","0.01","0.01","0.00","0.03"
"2021","Eastern Europe : Hungary + Czech Republic + Romania","0.50","0.50","0.02","0.47","0.40","0.09","0.02","8.20","7.40","6.70","0.90","0.03","0.02","0.01","0.07"
"2021","Egypt","0.52","0.48","0.03","0.43","0.33","0.14","0.07","11.00","10.10","5.10","0.45","0.19","0.04","0.15","0.34"
"2021","France","0.50","0.50","0.02","0.45","0.37","0.12","0.04","7.90","7.00","6.50","0.85","0.04","0.01","0.03","0.11"
"2021","Germany","0.51","0.49","0.02","0.42","0.40","0.13","0.03","7.70","6.90","6.30","0.85","0.05","0.01","0.04","0.10"
"2021","India","0.52","0.48","0.04","0.47","0.34","0.10","0.05","11.40","10.50","6.20","0.63","0.12","0.06","0.06","0.25"
"2021","Indonesia","0.52","0.48","0.03","0.50","0.38","0.07","0.02","12.80","12.00","8.50","0.48","0.33","0.12","0.21","0.18"
"2021","Iran","0.49","0.51","0.04","0.50","0.38","0.06","0.02","11.10","10.20","5.70","0.73","0.12","0.10","0.02","0.15"
"2021","Italy","0.51","0.49","0.01","0.37","0.41","0.17","0.04","7.60","6.80","6.30","0.80","0.04","0.02","0.02","0.16"
"2021","Jordan","0.53","0.47","0.03","0.37","0.35","0.16","0.09","10.80","9.90","4.00","0.37","0.21","0.05","0.16","0.41"
"2021","Kuwait","0.55","0.45","0.03","0.37","0.39","0.17","0.04","6.00","5.30","5.00","0.74","0.20","0.06","0.14","0.06"
"2021","Lebanon","0.47","0.53","0.04","0.36","0.29","0.21","0.10","11.10","10.30","3.80","0.31","0.20","0.05","0.15","0.47"
"2021","Malaysia+Singapore","0.59","0.41","0.03","0.60","0.29","0.05","0.03","13.00","12.20","7.30","0.44","0.41","0.08","0.33","0.07"
"2021","Nigeria","0.53","0.47","0.01","0.58","0.34","0.07","0.00","15.70","14.80","10.70","0.58","0.20","0.19","0.01","0.21"
"2021","Nordics: Norway and Sweden","0.51","0.49","0.01","0.33","0.47","0.17","0.02","7.60","6.90","6.40","0.81","0.03","0.00","0.03","0.16"
"2021","Oman","0.62","0.38","0.02","0.47","0.35","0.12","0.04","4.40","3.60","3.40","0.62","0.32","0.07","0.25","0.06"
"2021","Pakistan","0.51","0.49","0.04","0.52","0.34","0.06","0.04","17.40","16.40","5.60","0.59","0.12","0.05","0.07","0.29"
"2021","Philippines","0.44","0.56","0.01","0.36","0.31","0.17","0.15","29.20","28.40","5.50","0.39","0.04","0.02","0.02","0.54"
"2021","Poland","0.50","0.50","0.01","0.36","0.47","0.13","0.03","8.00","7.20","6.60","0.78","0.12","0.11","0.01","0.10"
"2021","Republic of Korea","0.61","0.39","0.01","0.59","0.15","0.23","0.02","8.60","7.70","5.00","0.49","0.46","0.06","0.40","0.03"
"2021","Russia","0.49","0.51","0.03","0.44","0.31","0.17","0.05","9.30","8.40","7.70","0.94","0.03","0.02","0.01","0.03"
"2021","Saudi Arabia","0.54","0.46","0.03","0.38","0.40","0.13","0.06","6.00","5.20","4.70","0.66","0.26","0.06","0.20","0.07"
"2021","United Kingdom","0.51","0.49","0.02","0.31","0.40","0.18","0.09","9.10","8.30","6.70","0.75","0.09","0.04","0.05","0.16"
"2021","USA","0.52","0.48","0.01","0.28","0.48","0.17","0.06","8.20","7.40","6.50","0.79","0.08","0.03","0.05","0.13"
"2021","Overall","0.52","0.48","0.03","0.42","0.37","0.13","0.05","9.60","8.80","6.10","0.71","0.12","0.05","0.07","0.16"
"2022","Australia+New Zealand","0.52","0.48","0.02","0.29","0.39","0.18","0.12","7.10","6.30","5.40","0.75","0.08","0.01","0.07","0.17"
"2022","Bahrain","0.55","0.45","0.01","0.31","0.42","0.20","0.06","6.10","5.10","4.90","0.94","0.01","0.00","0.01","0.05"
"2022","China","0.55","0.45","0.02","0.53","0.40","0.04","0.01","8.30","7.30","6.00","0.72","0.18","0.07","0.11","0.10"
"2022","CIS: Azerbaijan and Kazakhstan","0.50","0.50","0.04","0.50","0.31","0.12","0.03","8.50","7.50","7.20","0.97","0.01","0.01","0.00","0.02"
"2022","Eastern Europe : Hungary + Czech Republic + Romania","0.49","0.51","0.03","0.50","0.34","0.10","0.03","8.10","7.30","6.30","0.86","0.03","0.01","0.02","0.11"
"2022","Egypt","0.56","0.44","0.01","0.30","0.33","0.26","0.10","7.90","6.90","3.60","0.33","0.04","0.01","0.03","0.62"
"2022","France","0.50","0.50","0.04","0.35","0.38","0.17","0.06","7.80","7.10","6.40","0.80","0.04","0.01","0.03","0.15"
"2022","Germany","0.51","0.49","0.03","0.39","0.39","0.15","0.04","7.50","6.80","6.40","0.78","0.09","0.01","0.08","0.13"
"2022","India","0.52","0.48","0.04","0.39","0.37","0.13","0.07","9.40","8.50","5.40","0.70","0.09","0.05","0.04","0.21"
"2022","Indonesia",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"2022","Iran","0.50","0.50","0.04","0.52","0.37","0.06","0.01","7.50","6.50","5.80","0.82","0.08","0.05","0.03","0.10"
"2022","Italy","0.51","0.49","0.04","0.32","0.40","0.18","0.06","7.80","7.10","6.30","0.73","0.07","0.01","0.06","0.19"
"2022","Jordan","0.56","0.44","0.01","0.27","0.33","0.28","0.11","8.10","7.10","3.30","0.24","0.04",null,"0.04","0.72"
"2022","Kuwait","0.55","0.45","0.01","0.31","0.41","0.22","0.05","6.10","5.10","5.00","0.94","0.04","0.01","0.03","0.02"
"2022","Lebanon","0.55","0.45","0.01","0.23","0.38","0.29","0.09","8.30","7.30","3.00","0.19","0.01",null,"0.01","0.79"
"2022","Malaysia+Singapore",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"2022","Nigeria","0.52","0.48","0.01","0.45","0.43","0.09","0.02","8.30","7.60","6.40","0.76","0.09","0.06","0.03","0.14"
"2022","Nordics: Norway and Sweden","0.50","0.50","0.00","0.21","0.48","0.26","0.05","7.80","7.40","6.60","0.66","0.07","0.01","0.06","0.26"
"2022","Oman","0.59","0.41","0.02","0.38","0.38","0.18","0.04","4.30","3.40","3.20","0.90","0.05","0.02","0.03","0.05"
"2022","Pakistan","0.50","0.50","0.06","0.57","0.29","0.05","0.03","10.60","9.60","5.30","0.78","0.05","0.03","0.02","0.17"
"2022","Philippines","0.45","0.55","0.04","0.26","0.23","0.16","0.31","29.10","28.50","3.30","0.43","0.04","0.01","0.03","0.51"
"2022","Poland","0.50","0.50","0.01","0.25","0.39","0.27","0.08","8.20","7.70","6.50","0.59","0.12","0.07","0.05","0.28"
"2022","Republic of Korea","0.56","0.44","0.04","0.51","0.26","0.11","0.08","8.10","7.20","3.70","0.66","0.29","0.03","0.26","0.05"
"2022","Russia","0.50","0.50","0.03","0.41","0.35","0.17","0.04","8.60","7.60","7.40","0.98","0.01","0.01","0.00","0.01"
"2022","Saudi Arabia","0.57","0.43","0.01","0.35","0.39","0.20","0.05","5.80","4.80","4.60","0.91","0.05","0.02","0.03","0.04"
"2022","United Kingdom","0.51","0.49","0.03","0.33","0.38","0.17","0.09","8.10","7.30","6.20","0.81","0.04","0.01","0.03","0.15"
"2022","USA","0.52","0.48","0.02","0.36","0.38","0.17","0.07","7.50","6.70","6.10","0.84","0.05","0.02","0.03","0.11"
"2022","Overall","0.53","0.47","0.03","0.38","0.37","0.16","0.06","7.80","7.00","5.40","0.79","0.06","0.02","0.04","0.15"
"2022","Qatar","0.60","0.40","0.05","0.34","0.42","0.15","0.04","5.80","4.80","4.70","0.97","0.00","0.00",null,"0.03"
"2022","Israel","0.50","0.50","0.04","0.45","0.40","0.09","0.02","6.90","5.90","5.90","0.99","0.00",null,"0.00","0.01"
