row,col,head,new,diff
0,wf_ratio_vs_naive,0.6003041086648206,0.6003041086648205,1.1102230246251565e-16
3,wf_ratio_vs_naive,0.6579599839355171,0.6579599839355172,1.1102230246251565e-16
5,wf_ratio_vs_naive,0.6623586206336237,0.6623586206336235,2.220446049250313e-16
8,wf_ratio_vs_naive,0.6770866989786767,0.6770866989786766,1.1102230246251565e-16
10,wf_ratio_vs_naive,0.6822250070802499,0.6822250070802498,1.1102230246251565e-16
14,wf_ratio_vs_naive,0.6856309290669486,0.6856309290669488,2.220446049250313e-16
20,wf_ratio_vs_naive,0.7078855417337153,0.7078855417337154,1.1102230246251565e-16
25,wf_ratio_vs_naive,0.7149724917695469,0.7149724917695468,1.1102230246251565e-16
27,wf_ratio_vs_naive,0.7237412519958253,0.7237412519958252,1.1102230246251565e-16
32,wf_ratio_vs_naive,0.7342249642487011,0.7342249642487012,1.1102230246251565e-16
36,wf_ratio_vs_naive,0.7524917116348948,0.7524917116348946,2.220446049250313e-16
37,wf_ratio_vs_naive,0.752739729311137,0.7527397293111369,1.1102230246251565e-16
39,wf_ratio_vs_naive,0.7540446323812697,0.7540446323812701,3.3306690738754696e-16
41,wf_ratio_vs_naive,0.7604463136052835,0.7604463136052836,1.1102230246251565e-16
45,wf_ratio_vs_naive,0.7702581896408585,0.7702581896408588,3.3306690738754696e-16
47,wf_ratio_vs_naive,0.7757649037118945,0.7757649037118944,1.1102230246251565e-16
48,wf_ratio_vs_naive,0.7764693309568874,0.7764693309568872,2.220446049250313e-16
49,wf_ratio_vs_naive,0.778975302307202,0.7789753023072022,2.220446049250313e-16
50,wf_ratio_vs_naive,0.7805133810466025,0.7805133810466027,2.220446049250313e-16
51,wf_ratio_vs_naive,0.7816922734749737,0.7816922734749735,2.220446049250313e-16
53,wf_ratio_vs_naive,0.7850566098245008,0.7850566098245009,1.1102230246251565e-16
54,wf_ratio_vs_naive,0.7944674047328744,0.7944674047328745,1.1102230246251565e-16
56,wf_ratio_vs_naive,0.7965083969578318,0.7965083969578319,1.1102230246251565e-16
59,wf_ratio_vs_naive,0.8063627264794532,0.8063627264794531,1.1102230246251565e-16
62,wf_ratio_vs_naive,0.8083547717347352,0.8083547717347354,1.1102230246251565e-16
64,wf_ratio_vs_naive,0.812181652248113,0.8121816522481128,2.220446049250313e-16
67,wf_ratio_vs_naive,0.8165017372218104,0.8165017372218105,1.1102230246251565e-16
68,wf_ratio_vs_naive,0.8200069783487238,0.8200069783487237,1.1102230246251565e-16
69,wf_ratio_vs_naive,0.8203911447327711,0.8203911447327709,2.220446049250313e-16
72,wf_ratio_vs_naive,0.8293638143287132,0.8293638143287134,2.220446049250313e-16
73,wf_ratio_vs_naive,0.8295978656232101,0.82959786562321,1.1102230246251565e-16
74,wf_ratio_vs_naive,0.8302378084967874,0.8302378084967873,1.1102230246251565e-16
76,wf_ratio_vs_naive,0.8323582684980999,0.8323582684980998,1.1102230246251565e-16
77,wf_ratio_vs_naive,0.8350631221375666,0.8350631221375667,1.1102230246251565e-16
80,wf_ratio_vs_naive,0.8374618695480224,0.8374618695480223,1.1102230246251565e-16
81,wf_ratio_vs_naive,0.8375064394793921,0.8375064394793919,2.220446049250313e-16
82,wf_ratio_vs_naive,0.8384236706234698,0.8384236706234696,2.220446049250313e-16
84,wf_ratio_vs_naive,0.8402058825872947,0.8402058825872943,3.3306690738754696e-16
85,wf_ratio_vs_naive,0.8414631933531246,0.8414631933531247,1.1102230246251565e-16
86,wf_ratio_vs_naive,0.8416659782298658,0.8416659782298656,2.220446049250313e-16
90,wf_ratio_vs_naive,0.8444360611557243,0.8444360611557244,1.1102230246251565e-16
91,wf_ratio_vs_naive,0.8445066420455293,0.8445066420455294,1.1102230246251565e-16
96,wf_ratio_vs_naive,0.8472811277200533,0.8472811277200534,1.1102230246251565e-16
98,wf_ratio_vs_naive,0.8484332351289411,0.8484332351289406,4.440892098500626e-16
99,wf_ratio_vs_naive,0.8508381732307699,0.85083817323077,1.1102230246251565e-16
103,wf_ratio_vs_naive,0.8551443651441807,0.8551443651441808,1.1102230246251565e-16
104,wf_ratio_vs_naive,0.8560331452644162,0.8560331452644161,1.1102230246251565e-16
105,wf_ratio_vs_naive,0.8571135005487766,0.8571135005487772,6.661338147750939e-16
107,wf_ratio_vs_naive,0.8585633715215968,0.8585633715215969,1.1102230246251565e-16
108,wf_ratio_vs_naive,0.8590153268781642,0.859015326878164,2.220446049250313e-16
111,wf_ratio_vs_naive,0.8610580999496104,0.8610580999496102,1.1102230246251565e-16
115,wf_ratio_vs_naive,0.8624714542225851,0.8624714542225853,2.220446049250313e-16
116,wf_ratio_vs_naive,0.8628790637323407,0.8628790637323408,1.1102230246251565e-16
119,wf_ratio_vs_naive,0.8644699407737978,0.864469940773798,2.220446049250313e-16
120,wf_ratio_vs_naive,0.8647490790058234,0.8647490790058235,1.1102230246251565e-16
121,wf_ratio_vs_naive,0.8651913288915177,0.8651913288915178,1.1102230246251565e-16
126,wf_ratio_vs_naive,0.8663216583488764,0.8663216583488763,1.1102230246251565e-16
128,wf_ratio_vs_naive,0.866585389890593,0.8665853898905931,1.1102230246251565e-16
132,wf_ratio_vs_naive,0.8692622501380377,0.8692622501380379,2.220446049250313e-16
133,wf_ratio_vs_naive,0.8700468951045585,0.8700468951045583,1.1102230246251565e-16
135,wf_ratio_vs_naive,0.8702489398004833,0.8702489398004835,1.1102230246251565e-16
136,wf_ratio_vs_naive,0.8711102637491782,0.8711102637491784,2.220446049250313e-16
137,wf_ratio_vs_naive,0.8713852297274746,0.8713852297274747,1.1102230246251565e-16
138,wf_ratio_vs_naive,0.8717959886907515,0.8717959886907514,1.1102230246251565e-16
139,wf_ratio_vs_naive,0.8718736645456834,0.8718736645456833,1.1102230246251565e-16
140,wf_ratio_vs_naive,0.8719596053171553,0.8719596053171554,1.1102230246251565e-16
143,wf_ratio_vs_naive,0.8725572335095003,0.8725572335095002,1.1102230246251565e-16
144,wf_ratio_vs_naive,0.8733565614921847,0.8733565614921849,2.220446049250313e-16
145,wf_ratio_vs_naive,0.8738052048875887,0.8738052048875888,1.1102230246251565e-16
146,wf_ratio_vs_naive,0.8741680489819407,0.8741680489819409,2.220446049250313e-16
148,wf_ratio_vs_naive,0.8750899488001719,0.875089948800172,1.1102230246251565e-16
151,wf_ratio_vs_naive,0.8780265231636313,0.878026523163631,3.3306690738754696e-16
152,wf_ratio_vs_naive,0.8781132115408288,0.8781132115408287,1.1102230246251565e-16
153,wf_ratio_vs_naive,0.8787133798860592,0.8787133798860591,1.1102230246251565e-16
156,wf_ratio_vs_naive,0.882627109139447,0.8826271091394471,1.1102230246251565e-16
157,wf_ratio_vs_naive,0.8827191040305862,0.8827191040305863,1.1102230246251565e-16
158,wf_ratio_vs_naive,0.8828859502538128,0.8828859502538132,4.440892098500626e-16
159,wf_ratio_vs_naive,0.8835100326834475,0.8835100326834476,1.1102230246251565e-16
160,wf_ratio_vs_naive,0.8849079099049904,0.8849079099049906,2.220446049250313e-16
167,wf_ratio_vs_naive,0.8890295904192258,0.8890295904192259,1.1102230246251565e-16
169,wf_ratio_vs_naive,0.8907554706311808,0.8907554706311809,1.1102230246251565e-16
172,wf_ratio_vs_naive,0.8921617920209267,0.8921617920209268,1.1102230246251565e-16
177,wf_ratio_vs_naive,0.8939604120247501,0.8939604120247503,2.220446049250313e-16
180,wf_ratio_vs_naive,0.8958368896898274,0.8958368896898273,1.1102230246251565e-16
182,wf_ratio_vs_naive,0.8976532628063115,0.8976532628063117,2.220446049250313e-16
183,wf_ratio_vs_naive,0.8979326053739298,0.8979326053739297,1.1102230246251565e-16
184,wf_ratio_vs_naive,0.8982603470298762,0.8982603470298761,1.1102230246251565e-16
187,wf_ratio_vs_naive,0.900115522791906,0.9001155227919061,1.1102230246251565e-16
189,wf_ratio_vs_naive,0.9003302678093486,0.9003302678093484,1.1102230246251565e-16
191,wf_ratio_vs_naive,0.9016455823331831,0.9016455823331836,4.440892098500626e-16
192,wf_ratio_vs_naive,0.902156677604416,0.9021566776044164,4.440892098500626e-16
193,wf_ratio_vs_naive,0.9024903155913938,0.902490315591394,2.220446049250313e-16
194,wf_ratio_vs_naive,0.9026068428349074,0.9026068428349076,1.1102230246251565e-16
198,wf_ratio_vs_naive,0.9039408908461694,0.9039408908461696,2.220446049250313e-16
203,wf_ratio_vs_naive,0.905649643762989,0.9056496437629892,2.220446049250313e-16
212,wf_ratio_vs_naive,0.9081968257619382,0.908196825761938,1.1102230246251565e-16
218,wf_ratio_vs_naive,0.9095052872481382,0.9095052872481384,2.220446049250313e-16
