quarter,year,season,vintage_date,actual_print_date,model,loss,point,actual,n_train,w,lambda_Q1_pct,lambda_Q2_pct,lambda_Q3_pct,lambda_Q4_pct,train_quarters,max_input_date,last_train_outcome_date,gbv_l1,gbv_l2,lag1_print_date,lag2_print_date,n_parameters,q10,q90,n_cal,evidence_status,info_set,variant,source_reference,error_musd,relative_error_pct,covered_80
2024Q1,2024,1,2024-02-13,2024-05-08,fixed_2_3_relative,relative,2153.20638724,2142,12,0.666666666667,13.1026757844,14.1612984698,17.4322997115,12.0382966744,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4,2024-02-13,2024-02-13,15500,18300,2024-02-13,2023-11-01,4,,,4,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,11.2063872427,0.523174007597,
2024Q1,2024,1,2024-02-13,2024-05-08,K0_fixed_operational,inherited_K0_policy,2103.92957746,2142,1,0.666666666667,,,,,,2024-02-13,,,,,,,,,,frozen_operational_comparator_PIT_post_letter,K0 API as_of=guide_date+1; recorded source max date must remain <=guide date,ex_covid,,-38.0704225352,-1.77733065057,
2024Q2,2024,2,2024-05-08,2024-08-06,free_w_usd,usd,2832.37494332,2748,13,0.807207068453,13.2831055837,13.1901975105,17.3185923383,12.1175726979,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1,2024-05-08,2024-05-08,22900,15500,2024-05-08,2024-02-13,5,,,5,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,84.3749433172,3.07041278447,
2024Q2,2024,2,2024-05-08,2024-08-06,fixed_2_3_usd,usd,2845.43949495,2748,13,0.666666666667,13.0056588622,13.9254787681,17.3464216658,11.9923607511,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1,2024-05-08,2024-05-08,22900,15500,2024-05-08,2024-02-13,4,,,5,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,97.4394949549,3.54583314974,
2024Q2,2024,2,2024-05-08,2024-08-06,free_w_relative,relative,2878.7695156,2748,13,0.767007751637,13.3113874472,13.5945830498,17.3454104843,12.1387027049,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1,2024-05-08,2024-05-08,22900,15500,2024-05-08,2024-02-13,5,,,5,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,130.7695156,4.75871599708,
2024Q2,2024,2,2024-05-08,2024-08-06,fixed_2_3_relative,relative,2893.62532066,2748,13,0.666666666667,13.085489104,14.1612984698,17.4322997115,12.0382966744,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1,2024-05-08,2024-05-08,22900,15500,2024-05-08,2024-02-13,4,,,5,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,145.62532066,5.29932025692,
2024Q2,2024,2,2024-05-08,2024-08-06,K0_fixed_operational,inherited_K0_policy,2813.21771824,2748,2,0.666666666667,,,,,,2024-05-08,,,,,,,,,,frozen_operational_comparator_PIT_post_letter,K0 API as_of=guide_date+1; recorded source max date must remain <=guide date,ex_covid,,65.2177182441,2.37327941209,
2024Q3,2024,3,2024-08-06,2024-11-07,free_w_usd,usd,3724.7038691,3732,14,0.817652910873,13.3041084296,12.9863329734,17.3161580279,12.1269650741,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2,2024-08-06,2024-08-06,21200,22900,2024-08-06,2024-05-08,5,3577.3256233,3872.08211489,6,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,-7.29613090177,-0.195501899833,1
2024Q3,2024,3,2024-08-06,2024-11-07,fixed_2_3_usd,usd,3775.73778259,3732,14,0.666666666667,13.0056588622,13.7368012488,17.3464216658,11.9923607511,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2,2024-08-06,2024-08-06,21200,22900,2024-08-06,2024-05-08,4,3646.44106647,3905.03449871,6,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,43.7377825859,1.17196630723,1
2024Q3,2024,3,2024-08-06,2024-11-07,free_w_relative,relative,3738.22263575,3732,14,0.782787877707,13.3473914777,13.3478474861,17.3312507262,12.1546227167,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2,2024-08-06,2024-08-06,21200,22900,2024-08-06,2024-05-08,5,3568.41204111,3908.03323039,6,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,6.2226357512,0.166737292369,1
2024Q3,2024,3,2024-08-06,2024-11-07,fixed_2_3_relative,relative,3794.43057053,3732,14,0.666666666667,13.085489104,13.9687116646,17.4322997115,12.0382966744,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2,2024-08-06,2024-08-06,21200,22900,2024-08-06,2024-05-08,4,3603.47109674,3985.39004431,6,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,62.4305705263,1.67284486941,1
2024Q3,2024,3,2024-08-06,2024-11-07,K0_fixed_operational,inherited_K0_policy,3785.39419795,3732,1,0.666666666667,,,,,,2024-08-06,,,,,,,,,,frozen_operational_comparator_PIT_post_letter,K0 API as_of=guide_date+1; recorded source max date must remain <=guide date,ex_covid,,53.3941979522,1.43071269968,
2024Q4,2024,4,2024-11-07,2025-02-13,free_w_usd,usd,2461.68690698,2480,15,0.814453658702,13.2976702104,13.0013893087,17.3272237868,12.1240871978,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3,2024-11-07,2024-11-07,20100,21200,2024-11-07,2024-08-06,5,2364.28343256,2559.09038141,7,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,-18.3130930163,-0.738431170011,1
2024Q4,2024,4,2024-11-07,2025-02-13,fixed_2_3_usd,usd,2454.4365004,2480,15,0.666666666667,13.0056588622,13.7368012488,17.2731632452,11.9923607511,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3,2024-11-07,2024-11-07,20100,21200,2024-11-07,2024-08-06,4,2370.38654839,2538.48645241,7,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,-25.5634996042,-1.03078627436,1
2024Q4,2024,4,2024-11-07,2025-02-13,free_w_relative,relative,2472.21371846,2480,15,0.784086000132,13.3503590688,13.341214099,17.3235869207,12.1559339253,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3,2024-11-07,2024-11-07,20100,21200,2024-11-07,2024-08-06,5,2359.91219912,2584.51523779,7,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,-7.7862815438,-0.313962965476,1
2024Q4,2024,4,2024-11-07,2025-02-13,fixed_2_3_relative,relative,2463.83805269,2480,15,0.666666666667,13.085489104,13.9687116646,17.3587539243,12.0382966744,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3,2024-11-07,2024-11-07,20100,21200,2024-11-07,2024-08-06,4,2339.84231492,2587.83379047,7,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,-16.1619473076,-0.651691423693,1
2024Q4,2024,4,2024-11-07,2025-02-13,K0_fixed_operational,inherited_K0_policy,2433.92816437,2480,2,0.666666666667,,,,,,2024-11-07,,,,,,,,,,frozen_operational_comparator_PIT_post_letter,K0 API as_of=guide_date+1; recorded source max date must remain <=guide date,ex_covid,,-46.071835634,-1.85773530782,
2025Q1,2025,1,2025-02-13,2025-05-01,free_w_usd,usd,2402.10875169,2272,16,0.815599593512,13.2999757296,12.9959923217,17.327612945,12.1572859563,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4,2025-02-13,2025-02-13,17600,20100,2025-02-13,2024-11-07,5,2307.06265233,2497.15485105,8,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,130.108751688,5.72661759189,0
2025Q1,2025,1,2025-02-13,2025-05-01,fixed_2_3_usd,usd,2397.37645026,2272,16,0.666666666667,13.0056588622,13.7368012488,17.2731632452,12.0368693127,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4,2025-02-13,2025-02-13,17600,20100,2025-02-13,2024-11-07,4,2315.28046792,2479.4724326,8,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,125.376450263,5.51832967708,0
2025Q1,2025,1,2025-02-13,2025-05-01,free_w_relative,relative,2421.77005804,2272,16,0.784624700249,13.3515908302,13.3384632565,17.3234074749,12.1659607576,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4,2025-02-13,2025-02-13,17600,20100,2025-02-13,2024-11-07,5,2311.75996669,2531.78014939,8,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,149.770058036,6.59199199104,0
