id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1139083604377325064,Prince of Persia - Luxurious Apartment,213603241,1463191147250120591,Νίκος,,Pilea – Chortiatis,40.60786,22.99073,Entire home/apt,130,2,17,2026-03-23,0.68,2,269,6,00002584937
1139170062897495555,Greko Home,262535219,1469388329645581782,Georgios,,Thessaloniki,40.6415078,22.9405555,Entire home/apt,113,2,14,2026-03-25,0.55,1,51,5,00002573108
1140428985409156048,Coloris Viridis room,119136694,1468215228819849248,Despoina,,Thessaloniki,40.61418099999999,22.978656,Entire home/apt,103,1,16,2026-05-26,0.61,2,345,6,00002590157
1140697890111218800,CenterCity3-Apartment Thessaloniki,100776361,1462872160989452270,Manolis,,Thessaloniki,40.6416115,22.9341706,Entire home/apt,31,1,50,2026-05-22,1.92,12,268,25,00003710960
1141102191143305936,Yapi Living,573798205,1470566645774363588,Smaro,,Thessaloniki,40.64353058955632,22.93445963439331,Entire home/apt,97,3,11,2026-03-31,0.48,1,259,5,00003703897
1141123720018599618,DeKolomvou,214875317,1469125713931999417,DeKo,,Thessaloniki,40.63859131428915,22.938866926093425,Entire home/apt,69,2,1,2024-10-06,0.05,4,114,0,00002931161
1141130757908050290,"Penthouse Apartment #9, The Luxury Suites",280458084,1463373694936659886,The Luxury Suites,,Thessaloniki,40.63948,22.9367,Entire home/apt,59,1,7,2025-12-31,0.45,175,156,5,00002991908
1141147186080479520,"Stylish #3, The Luxury Suites",280458084,1463373694936659886,The Luxury Suites,,Thessaloniki,40.63781,22.94199,Entire home/apt,36,1,16,2026-03-28,0.63,175,174,11,00002692424
1141158786328189336,"Cielo #3, The Luxury Suites",280458084,1463373694936659886,The Luxury Suites,,Thessaloniki,40.63674,22.93582,Entire home/apt,38,1,54,2026-06-14,2.08,175,172,27,00002111039
1141208784907753517,Estia on White Tower | Midas Home Project,158095749,1468540599104094820,Νίκος,,Thessaloniki,40.62888,22.95017,Entire home/apt,188,1,57,2026-06-13,2.16,8,191,19,00002595591
1142416663807382923,Center4City-Apartment Thessaloniki,100776361,1462872160989452270,Manolis,,Thessaloniki,40.6416115,22.9341706,Entire home/apt,56,1,27,2026-05-18,1.09,12,267,17,00003710975
1142432329200457068,Stylish Apartment 1 Min to Metro,439956375,1469986596899228195,Dimitris,,Thessaloniki,40.64361,22.928,Entire home/apt,77,1,99,2026-06-12,3.74,2,356,38,00002310026
1142455186651429184,Urban Folks | Modern apartment,553323265,1470472305089009783,Nikolaos,,Thessaloniki,40.6355888,22.9483415,Entire home/apt,49,1,106,2026-06-07,4.85,12,99,64,00002593460
1142557355201694005,Urban Folks | Cozy apartment,553323265,1470472305089009783,Nikolaos,,Thessaloniki,40.6355888,22.9483415,Entire home/apt,51,1,82,2026-06-08,3.28,12,92,59,00002593481
1142773194693055169,Hyperion Premium Suite,265363053,1469403714925892782,Hyperion Premium,,Ampelokipon – Menemeni,40.64841,22.92903,Entire home/apt,83,1,2,2025-10-13,0.10,1,55,1,00002568130
1142864782490023033,Namastay PP6# hosted by DoorMat,370588541,1469749517590968270,Mariana,,Thessaloniki,40.63206599999999,22.9492803,Entire home/apt,73,1,81,2026-06-23,3.09,9,341,34,00002572891
1142868383314669870,Mazi Rooms Charilaou 2.1,59687021,1462743344155481697,Pau,,Thessaloniki,40.60227744577844,22.970181182026863,Entire home/apt,86,1,47,2026-06-14,1.79,14,254,15,00002603120
1142879185108615771,Namastay PP5# hosted by DoorMat,370588541,1469749517590968270,Mariana,,Thessaloniki,40.63206599999999,22.9492803,Entire home/apt,68,1,107,2026-06-25,4.05,9,356,37,00002572903
1143428036015347394,SKG Center Apartment,177639997,1468719121666712786,Christos Mouxios,,Thessaloniki,40.63068,22.94966,Entire home/apt,76,1,12,2025-05-17,0.47,1,50,0,00002583749
1143539290719594674,Central elegant loft apartment,534962592,1470400634028152355,Σουλτάνα,,Thessaloniki,40.63992231296774,22.94810115439272,Entire home/apt,76,2,26,2026-05-11,1.01,2,318,13,00002586670
1143576617954619461,DoorMat #16 Sunkissed,555435959,1470480340954193801,Fotios,,Thessaloniki,40.6417037,22.936566,Entire home/apt,60,1,113,2026-06-14,4.31,32,326,41,00003836440
1143591171052798035,Eleven Elysium #URBN,529609791,1463868159611593923,Konstantinos,,Thessaloniki,40.6292514149385,22.947807088360594,Entire home/apt,118,1,81,2026-06-08,3.08,3,331,36,
1144047625470005610,"""Rebecca's Philoxenia"" Apartment",290484337,1469509551605274790,Rebecca,,Thessaloniki,40.6367075,22.9537056,Entire home/apt,78,1,51,2026-05-31,2.02,1,355,16,00003772408
1144398018274635264,Mazi Rooms Charilaou 2.3,59687021,1462743344155481697,Pau,,Thessaloniki,40.6022384990302,22.970055118203163,Entire home/apt,86,1,11,2026-05-04,0.42,14,176,8,00003608018
1144795306653490763,Mazi Rooms Charilaou 2.2,59687021,1462743344155481697,Pau,,Thessaloniki,40.602257845188404,22.97012384980917,Entire home/apt,75,1,29,2026-05-11,1.14,14,261,13,00002603035
1144824050902126375,D&A Apartments,545350233,1463874075845749727,Αγγελική,,Thessaloniki,40.604813293879886,22.95888639986515,Entire home/apt,141,2,19,2026-02-01,0.77,1,173,1,00002603077
1145391105932483956,Feel Greek Hospitality #Θ004,568023192,1470527242352037308,Feel Greek Hospitality,,Thessaloniki,40.63433,22.94791,Entire home/apt,62,1,5,2025-08-31,0.37,18,80,4,00002559286
1145486313331350932,Coloris Caeruleus room,119136694,1468215228819849248,Despoina,,Thessaloniki,40.61418099999999,22.978656,Entire home/apt,86,1,14,2025-05-26,0.54,2,357,0,00002590141
1145507134319057315,Orietta Suite,454062804,1463740786497141803,Sea And The City,,Thessaloniki,40.6338905,22.9395477,Entire home/apt,86,1,22,2026-04-28,0.94,17,60,3,00002419853
1146333345754886137,Boho & Art Suite,36630816,1465545555662746655,Stefanos,,Thessaloniki,40.63943380000001,22.9378104,Entire home/apt,120,3,3,2026-06-07,0.25,1,150,3,00002673662
1146409239544803245,A. art suite downtown luxury living,92991406,1467123445391681190,George,,Thessaloniki,40.62818351334848,22.95083474367857,Entire home/apt,80,2,45,2026-06-22,1.74,1,165,11,00002611907
1146499846434474801,Casa de Pavel,18403360,1463053526096871444,Elena,,Thessaloniki,40.6298021,22.9497305,Entire home/apt,133,1,2,2025-04-26,0.08,1,280,0,00002591190
1146732720433141268,Leon's Thessaloniki Escape,310344859,1469579341468725072,Leon,,Thessaloniki,40.64012695906935,22.94024237605743,Entire home/apt,69,4,6,2026-01-04,0.30,1,363,3,00002603566
1147725523973195312,F & B Collection - Apartment for 4,31131449,1462653994722889142,Dimitris,,Kalamaria,40.5873634,22.9552397,Entire home/apt,131,2,13,2026-06-11,0.53,37,329,6,00002614067
1148286633757757309,AZ premium suite- 106,574327789,1470568368011118719,Skgbnb,,Thessaloniki,40.63586,22.93576,Entire home/apt,225,1,34,2026-05-26,1.43,2,288,21,00003308037
1148310522179576820,Venus Metro Suite,561911718,1470508648279750729,Σωτηρης,,Kalamaria,40.5880862,22.9636987,Entire home/apt,97,2,0,,,1,352,0,00003563299
1149727461102319277,"Aelia 6.1 with Jacuzzi, The Luxury Suites",280458084,1463373694936659886,The Luxury Suites,,Thessaloniki,40.63877,22.93636,Entire home/apt,77,2,44,2026-05-09,1.85,175,172,23,00003492391
1151323081847566879,Apartment near train station,545741235,1470442936880280325,Gino,,Ampelokipon – Menemeni,40.6484145,22.9280159,Entire home/apt,58,1,51,2026-06-13,2.20,2,299,17,00001864878
1151387638969997171,Ανακαινισμένο ευρύχωρο διαμέρισμα με θέα,18470025,1463054919072169290,Patroklos,,Kalamaria,40.57469,22.96693,Entire home/apt,122,2,31,2026-03-28,1.28,2,230,11,00002616710
1151916989119220602,Celestial Garden- 2 bd  penthouse mtn & city view,76732936,1466940615202220660,Dimitra,,Thessaloniki,40.59975559999999,22.9774839,Entire home/apt,123,2,5,2025-10-20,0.19,1,222,1,00002608438
1152158955237680351,MainAvenue Living Local,451501319,1470032548153789245,Main Avenue,,Thessaloniki,40.6281687,22.9520852,Entire home/apt,184,1,26,2026-04-09,1.06,4,347,14,00002539428
1152577430088164917,BH774 - C - Suite Thessaloniki,461193921,1470077228158765186,Aikaterini,,Thessaloniki,40.62689,22.94844,Entire home/apt,571,3,0,,,14,326,0,1146800
1152633553984770294,Skyview Bliss 2 in Chatzilazarou,128968239,1462937173474769494,Konstantinos,,Thessaloniki,40.6060161,22.9543184,Entire home/apt,62,1,29,2026-05-29,1.15,15,363,6,00002629846
1152645339072638364,Dream Suite near Metro Station!,86924681,1467046128515347927,Dimitrios,,Thessaloniki,40.59563709034853,22.961567164749226,Entire home/apt,160,1,21,2026-04-26,0.83,2,354,2,00002603343
1152723239402733620,Bel Air: Elegant apartment in the center,251290631,1469331838051961663,Halu,,Thessaloniki,40.63476,22.94752,Entire home/apt,185,1,63,2026-06-22,2.47,79,326,27,00002882526
1153031539316060036,Aristotelous View Cozy Apartment,116801102,1468196808149450193,Dimitra,,Thessaloniki,40.63524970742208,22.94335504232788,Entire home/apt,156,2,4,2025-08-12,0.18,1,70,2,00002627677
1153678401667596518,Mirror#Skgbnb,28267881,1462643964370449103,Tomas&Cristina! Skgbnb,,Thessaloniki,40.6227621,22.9608841,Entire home/apt,97,1,17,2026-03-16,0.67,30,320,10,00003491852
1153732283875663217,Latomeiou 3 Luxury Apartment,195434423,1469018609657492092,Ioannis,,Thessaloniki,40.64753169999999,22.9390903,Entire home/apt,89,2,61,2026-06-09,2.55,4,330,31,00002574625
1154349468632494124,Elysian Bliss by InFox Suites,436387571,1469973424479696721,InFox Suites,,Thessaloniki,40.63892952258145,22.945785186508168,Entire home/apt,117,1,4,2026-02-15,0.17,10,123,2,00003766710
1154855994522324410,GetHome City Charm,577102361,1470577010497183368,Nikolaos,,Thessaloniki,40.6290562577836,22.951721449737548,Entire home/apt,64,2,18,2026-02-23,0.73,1,320,14,00002622307
1155655874009031381,Thessalonian Suite II - 2 Steps from Whiter Tower,577299080,1470577538705705915,⁨Thanasis F.⁩,,Thessaloniki,40.627761210267124,22.948700492686033,Entire home/apt,64,1,30,2026-04-29,1.17,1,295,21,00002631196
1155748394650167701,Cozy modern stylish apartment,44500463,1465661122632848080,Mpampis,,Thessaloniki,40.60307,22.96609,Entire home/apt,56,15,1,2024-08-28,0.04,2,179,0,00002636047
1156487707905608787,Mirror-City Center #Skgbnb,28267881,1462643964370449103,Tomas&Cristina! Skgbnb,,Thessaloniki,40.6227621,22.9608841,Entire home/apt,59,2,25,2026-05-10,0.98,30,303,16,00003491788
1156939661438399533,BH762 - C - Room Thessaloniki,461193921,1470077228158765186,Aikaterini,,Thessaloniki,40.62883,22.94844,Entire home/apt,346,3,0,,,14,344,0,1146800
1156962185057775876,BH763 - C - Room Thessaloniki,461193921,1470077228158765186,Aikaterini,,Thessaloniki,40.62896,22.94959,Entire home/apt,415,3,0,,,14,331,0,1146800
1156995241650426595,BH765 - C - Room Thessaloniki,461193921,1470077228158765186,Aikaterini,,Thessaloniki,40.62813,22.94806,Entire home/apt,571,3,0,,,14,335,0,1146800
1156997321931032528,BH704 - C - Suite Thessaloniki,461193921,1470077228158765186,Aikaterini,,Thessaloniki,40.63774,22.93963,Entire home/apt,579,3,1,2025-03-24,0.06,14,158,0,1302202
1157009781365358742,BH766 - C - Room Thessaloniki,461193921,1470077228158765186,Aikaterini,,Thessaloniki,40.62691,22.9499,Entire home/apt,579,3,0,,,14,322,0,1146800
1157017794537043679,BH767 - C - Room Thessaloniki,461193921,1470077228158765186,Aikaterini,,Thessaloniki,40.62832,22.94887,Entire home/apt,457,3,0,,,14,338,0,1146800
1157029804869332444,BH770 - C - Room Thessaloniki,461193921,1470077228158765186,Aikaterini,,Thessaloniki,40.62832,22.95006,Entire home/apt,571,3,0,,,14,337,0,1146800
1157824232661503532,Ancient Greece Apartment,34593310,1465509123636101206,Kiriakos,,Thessaloniki,40.64176594565758,22.948673754280463,Entire home/apt,103,1,2,2024-08-25,0.08,1,179,0,00002669660
1158416671398315210,Jq lux ap,513283537,1470308683033283422,Ilias,,Thessaloniki,40.645917146283075,22.94062377790985,Entire home/apt,,5,0,,,1,1,0,00002633450
1158517851437839518,Ladadika sea view - 102,574327789,1470568368011118719,Skgbnb,,Thessaloniki,40.6343,22.93488,Entire home/apt,78,1,12,2026-05-25,0.53,2,356,3,00003847036
1158796827655474433,Loena Luxury Suites | Thessaloniki,145736762,1468431914193530125,Christos,,Thessaloniki,40.6367705,22.937251,Entire home/apt,63,1,52,2026-06-08,2.25,1,133,34,00002825758
1159114590094333442,Cozy corner,62612905,1466772404159201279,Alexander,,Neapolis – Sykeon,40.6483959,22.9470528,Entire home/apt,94,1,8,2025-09-08,0.37,2,365,4,00002874920
1159332649161469227,Cozy Apartment with Work-Space in Thessaloniki,130916259,1468311029212124847,Avraam,,Thessaloniki,40.60959,22.97088,Entire home/apt,69,2,34,2026-06-01,2.15,1,236,24,00002852116
1159414903653242031,Secret Medow# hosted by DoorMat,374735588,1469762462934906535,Sofia,,Thessaloniki,40.6075104,22.9599499,Entire home/apt,62,1,125,2026-06-24,4.90,1,313,49,00002655324
1159697165136805116,Budget | Young | City Centre | Garden,464779891,1470094611441150573,Nebil,,Thessaloniki,40.64302694167246,22.945765033364296,Entire home/apt,46,1,52,2026-06-25,3.57,2,333,36,00003298750
1159963609470259010,"Next Door #3, Nilie Hospitality MGMT",239769711,1469275350640488022,Nilie Premium Hospitality MGMT,,Thessaloniki,40.63769,22.94002,Entire home/apt,39,1,12,2026-05-01,0.56,219,62,5,2993210
1159976856697100857,"Next Door #5, Nilie Hospitality MGMT",239769711,1469275350640488022,Nilie Premium Hospitality MGMT,,Thessaloniki,40.63769,22.94002,Entire home/apt,39,1,38,2026-05-11,1.50,219,68,19,2694741
1160086575737800640,ELEON Apartment,487633007,1470194519922669588,Παναγιωτά,,Kalamaria,40.58672019682718,22.95462628888549,Entire home/apt,118,1,17,2026-06-07,0.70,1,66,6,00003463404
1160102153186101813,"Sonia's SKG 3 Bedroom Family Apartment, Near Metro",578425120,1470580970006308947,Androniki,,Thessaloniki,40.6082,22.9586,Entire home/apt,134,2,10,2025-12-28,0.41,1,341,4,00002642191
1160198139970436391,Namaste Boho Loft Near Seaside,358149592,1469717207308001879,NamasteHomes,,Thessaloniki,40.61608,22.957415,Entire home/apt,81,1,21,2026-04-22,0.82,6,88,11,00002502605
1160237005847881568,Namaste Loft Near Seaside,358149592,1469717207308001879,NamasteHomes,,Thessaloniki,40.61608,22.957415,Entire home/apt,65,1,17,2026-04-30,0.67,6,88,5,00002502466
1162086751532631726,Urban Rotonda Retreat in the City Center!,578973229,1470582504797379643,Apostolos,,Thessaloniki,40.633308544910534,22.95435943928679,Entire home/apt,,2,21,2025-02-10,0.82,1,0,0,00002658180
1162198918369102863,Manolis House Thessaloniki,578999635,1470582600712760731,Thessaloniki Dream House,,Kalamaria,40.58437,22.95757,Entire home/apt,157,2,1,2024-07-29,0.04,1,209,0,00002680507
1162905538150174038,F & B Collection - 2 Bedroom Flat,31131449,1462653994722889142,Dimitris,,Kalamaria,40.5719766,22.957392,Entire home/apt,111,2,23,2026-05-28,0.96,37,365,14,00002598110
1163538221925683347,Downtown Stylish Apartment 2,444906990,1463718427936207417,Smart Plan,,Thessaloniki,40.63459,22.9526,Entire home/apt,60,1,19,2026-05-23,0.75,25,226,3,00002654710
1165035093173034700,Helena's Apartment,269803467,1469425513644652327,Elena,,Thessaloniki,40.6126241,22.9536573,Entire home/apt,84,2,29,2026-06-07,1.18,1,231,10,00002695329
1165115569877571405,Modern 2 - Bedroom Penthouse City Centre,579725563,1470584657310342150,Pavlos,,Thessaloniki,40.63189664273164,22.948912286508193,Entire home/apt,104,1,129,2026-06-22,5.11,1,15,50,00002666601
1165624922087116933,BH636 - C - Room Thessaloniki,461193921,1470077228158765186,Aikaterini,,Thessaloniki,40.63867,22.93892,Entire home/apt,466,3,0,,,14,178,0,1302202
1165657255959095421,BH637 - C - Room Thessaloniki,461193921,1470077228158765186,Aikaterini,,Thessaloniki,40.63917,22.93876,Entire home/apt,290,3,0,,,14,178,0,1302202
1165683313629972715,Shinny downtown living,52202112,1462722231664713887,Mike,,Thessaloniki,40.6361654,22.9504853,Entire home/apt,93,1,7,2026-05-03,0.39,3,269,6,00002621103
1165688836054767128,BH654 - C - Room Thessaloniki,461193921,1470077228158765186,Aikaterini,,Thessaloniki,40.63757,22.94045,Entire home/apt,571,3,0,,,14,182,0,1302202
1165715213426993747,BH061 - C - Room Thessaloniki,461193921,1470077228158765186,Aikaterini,,Thessaloniki,40.63718,22.94069,Entire home/apt,685,3,0,,,14,181,0,1302202
