,Cleanliness,Comfort,Facilities,Free WiFi,Location,Staff,Total,Value for money,highlights,hotel_name,lat,lng,stars,type,days,segment,fits,price_med,city,datecontrol,dist,metro_dist
858,7.1,6.3,6.1,5.9,7.7,7.2,,6.8,"['“friendly staff”\n20 related reviews', '“metro station”\n17 related reviews', '“minute walk”\n5 related reviews', 'This hotel is situated in the real heart of Paris', 'Continental', 'Free WiFi']",Hotel Hotel Leonard De Vinci,48.8671144,2.3742431,2-star hotel,'Hotels',weekdays,Hotels,2,148.77901015938113,paris,2019-07-16&checkout=2019-07-18&,1.9649365211946754,0.20470176937571977
859,8.5,8.2,7.9,9.0,8.7,8.3,,7.1,"['“friendly staff”\n8 related reviews', '“nice hotel”\n4 related reviews', '“eiffel tower”\n2 related reviews', 'Situated in the real heart of Paris, this hotel has an excellent location score of 8.7', ""Want a great night's sleep? This hotel was highly rated for its very comfy beds."", 'Continental, Vegetarian, Vegan, Gluten-free, Asian, American, Buffet', 'Good coffee!', 'Balcony with view', 'Landmark / City view', 'Free WiFi\nGuests consistently rate the WiFi as excellent', 'Private parking at the hotel']",Hotel Hyatt Paris Madeleine,48.8729012,2.3217093999999996,5-star hotel,'Hotels',weekdays,Hotels,2,1028.4043247273744,paris,2019-07-16&checkout=2019-07-18&,2.9118425568226427,0.17563939167251644
860,8.1,7.3,7.2,8.0,8.7,8.7,,7.4,"['“friendly staff”\n19 related reviews', '“metro stations”\n7 related reviews', '“du nord”\n6 related reviews', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 8.7', 'Buffet', 'Free WiFi\nGuests consistently rate the WiFi as excellent', 'Great area for shopping!']",Hotel Hôtel Du Leman,48.873827399999996,2.3453443,3-star hotel,'Hotels',weekdays,Hotels,2,224.85786186969895,paris,2019-07-16&checkout=2019-07-18&,1.9940922282590934,0.25512629025731876
861,9.7,9.5,9.3,9.0,9.1,9.7,,8.7,"['“friendly staff”\n28 related reviews', '“great breakfast”\n16 related reviews', '“boutique hotel”\n13 related reviews', '“boutique style”', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 9.1', 'Great Food: Meals here are highly recommended', ""Want a great night's sleep? This hotel was highly rated for its very comfy beds."", 'Continental, Gluten-free, Buffet', 'Great coffee!', 'Patio', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hotel Hôtel Fabric,48.8631014,2.3728319,4-star hotel,'Hotels',weekdays,Hotels,2,567.6204678907634,paris,2019-07-16&checkout=2019-07-18&,1.6426341857072626,0.19571731568919723
862,8.9,8.4,8.6,9.0,9.2,9.1,,8.4,"['“friendly staff”\n36 related reviews', '“free snacks”\n32 related reviews', '“metro station”\n22 related reviews', '“boutique style”', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 9.2', 'Great Food: Meals here are highly recommended', 'Fabulous breakfast included with all options', 'Continental, Gluten-free, Buffet', 'Very good coffee!']",Hotel Hotel Lorette - Astotel,48.8788973,2.3370542999999997,3-star hotel,'Hotels',weekdays,Hotels,2,293.71330040078294,paris,2019-07-16&checkout=2019-07-18&,2.7361734453023145,0.07071004839236421
863,7.9,7.5,7.4,7.6,8.0,8.7,,7.9,"['“metro station”\n17 related reviews', '“friendly staff”\n17 related reviews', '“clean room”\n4 related reviews', 'Top location: Highly rated by recent guests (8.0)', 'Continental', 'Free WiFi', 'Private parking available']",Hotel Hôtel des Buttes Chaumont,48.882181700000004,2.3708542,2-star hotel,'Hotels',weekdays,Hotels,2,182.0999161152018,paris,2019-07-16&checkout=2019-07-18&,3.1419593554680554,0.09956493986746985
864,9.0,8.6,8.4,8.1,9.4,9.3,,8.3,"['“helpful staff”\n9 related reviews', '“perfect location”\n7 related reviews', '“nice area”\n4 related reviews', 'Situated in the real heart of Paris, this hotel has an excellent location score of 9.4', 'Continental, Gluten-free, Buffet', 'Great coffee!', 'City view', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hotel Hôtel Sèvres Saint Germain,48.849269799999995,2.3248498,3-star hotel,'Hotels',weekdays,Hotels,2,434.1038307391183,paris,2019-07-16&checkout=2019-07-18&,2.201380876925919,0.23734715845337975
865,7.7,7.4,7.2,8.2,8.6,8.4,,7.4,"['“friendly staff”\n18 related reviews', '“metro station”\n14 related reviews', '“comfortable beds”\n12 related reviews', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 8.6', 'Buffet', 'City view', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hotel Hotel Pax Opera,48.8757,2.3454456,3-star hotel,'Hotels',weekdays,Hotels,2,282.99468729611334,paris,2019-07-16&checkout=2019-07-18&,2.1932975916096797,0.05618074112031486
866,8.4,8.1,7.9,8.1,9.0,9.0,,7.8,"['“friendly staff”\n23 related reviews', '“perfect location”\n7 related reviews', '“metro station”\n5 related reviews', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 9.0', 'Buffet', 'Good coffee!', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hotel Monceau Elysées,48.8800209,2.3023284,3-star hotel,'Hotels',weekdays,Hotels,2,388.5497250442725,paris,2019-07-16&checkout=2019-07-18&,4.524336756804032,0.16487386342224503
867,7.9,7.8,7.5,7.7,8.5,8.3,,7.7,"['“metro station”\n21 related reviews', '“friendly staff”\n7 related reviews', '“comfortable bed”\n4 related reviews', '“boutique style”', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 8.5', 'Buffet', 'Good coffee!', 'Free WiFi']",Hotel 55 Hôtel Montparnasse,48.8335817,2.3177505000000003,3-star hotel,'Hotels',weekdays,Hotels,2,204.11967564544693,paris,2019-07-16&checkout=2019-07-18&,3.622427560826224,0.09064928643075655
