scope,n_markets,n_pairs,reviews_2023v,reviews_2025v,yoy_2023_vintage_pct,yoy_2025_vintage_pct,equal_wt_yoy_2023_pct,equal_wt_yoy_2025_pct,diff_pp,equal_wt_diff_pp,line_pp,pass,overall_pass
GLOBAL,114,1357,12442784,8231772,90.40724413974539,80.44656500848662,167.39307394633965,157.1163103405924,-9.960679131258772,-10.276763605747249,2.0,False,False
APAC,15,177,1630920,1123832,80.21952278711947,73.63987515836965,182.7453470876296,166.8253093347505,-6.579647628749825,-15.920037752879097,3.0,False,False
EMEA,55,657,6435017,4418055,115.26785305089105,103.73013333136582,231.25310256586476,222.82420720447925,-11.537719719525228,-8.428895361385514,3.0,False,False
LatAm,5,60,821310,523294,129.40530756919367,113.98066668847524,181.85697644363532,169.51633116609133,-15.424640880718428,-12.340645277543985,3.0,False,False
NAM,39,463,3555537,2166591,55.77107082460768,44.291741451248214,69.03189619499173,58.557817228131135,-11.47932937335947,-10.474078966860596,3.0,False,False
