quarter,adr_yoy_exfx_pct,fx_pp,adr_yoy_reported_pct,adr_usd,adr_usd_base_year,band_half_pp,adr_usd_lo,adr_usd_hi,fx_leg,fx_p10,fx_p90,fx_obs_frac,street_adr_usd,street_yoy_pct,z_vs_street,p_print_ge_street,street_n,fx_pp_v1,adr_usd_fx_v1,p_print_ge_street_fx_v1,fx_pp_identity,adr_usd_fx_identity,p_print_ge_street_fx_identity,fx_pp_v2_euro,card_v3_adr_usd,card_v3_exfx_pct,card_v3_fx_pp,nights_m,gbv_busd,street_gbv_busd,band_basis,note
3Q26,3.00866537336942,-0.4060707713826565,2.6025946019867634,175.74798429374314,171.29,0.9936823625835477,174.04590577487377,177.4500628126125,midpoint,-0.4610335785210507,-0.3467185754224835,0.8787878787878788,177.06,3.368556249635124,-0.7708314814573952,0.2204034122609242,26.0,0.0295677295003612,176.49418948190566,0.36978483241831994,0.4152814166247513,177.15487845658103,0.5222266096709938,-1.2274229593900643,176.88,3.69,-0.43,146.8,25.799804094321495,26.38194,+/-1 sd (~68%): RSS of parameter half-ranges and sds plus FX rate bootstrap sd,
4Q26,2.4767920781857984,-0.3694127770215801,2.1073793011642183,171.04007106738018,167.51,1.8893258143176093,167.87526139581675,174.2048807389436,midpoint,-1.7638842407144912,1.1883073370248791,0.0,171.33,2.280460868007883,-0.0916102270619632,0.46350386280111666,25.0,0.28266369927394,172.1323643728228,0.6000694600923325,0.5136690253172425,172.51932139447794,0.6464655522267742,-1.2524945793604028,173.94,3.69,0.15,131.8,22.543081366680713,22.95822,+/-1 sd (~68%): RSS of parameter half-ranges and sds plus FX rate bootstrap sd,
1Q27,2.3624971039470237,-0.369013484663626,1.9934836192833978,190.54422609754525,186.82,2.780201599178328,185.35025346996028,195.7381987251302,identity,-3.200007379665376,2.777955631158125,0.0,,,,,,-0.5488835096616189,190.20819291684398,,-0.369013484663626,190.54422609754525,,-1.488357858232737,,,,169.02,32.2057850950071,,+/-1 sd (~68%): RSS of parameter half-ranges and sds plus FX rate bootstrap sd,
2Q27,2.9021430268915998,-0.4269361495661503,2.4752068773254496,188.27769759571004,183.73,3.280312797187724,182.25077889343703,194.30461629798305,identity,-3.901622399508339,3.680185402603736,0.0,,,,,,-0.4298784424118624,188.2722917210646,,-0.4269361495661503,188.27769759571004,,-1.2066119898465693,,,,157.1,29.578426292286046,,+/-1 sd (~68%): RSS of parameter half-ranges and sds plus FX rate bootstrap sd,
3Q27,2.8086992330369247,-0.1467482595312805,2.661950973505644,180.42630947256697,175.74798429374314,3.784510198007177,173.77510908417824,187.07750986095573,identity,-4.338399164474799,4.855838910725363,0.0,,,,,,-0.1418030961398266,181.20110620304646,,-0.1467482595312805,181.87065446826873,,-0.7693641524871175,,,,155.96,28.139287225341544,,+/-1 sd (~68%): RSS of parameter half-ranges and sds plus FX rate bootstrap sd,
4Q27,2.8735666038431567,0.0,2.8735666038431567,175.955021428762,171.04007106738018,3.926875956705454,169.23849000168514,182.6715528558389,identity,-4.335432026064073,5.115411667119529,0.0,,,,,,0.0,177.07870250984584,,0.0,177.47677899924648,,-0.5673758816716195,,,,139.77,24.593233345098067,,+/-1 sd (~68%): RSS of parameter half-ranges and sds plus FX rate bootstrap sd,FX 0.000 is an artefact: 4Q27 and its base 4Q26 are both spot-held; the band is the content
FY27,,,2.4905675048594977,184.15491188828938,,,,,,,,,,,,,,,,,,,,,,,,621.85,114.51673195773276,,,contains 4Q27's spot-held FX artefact: ~$0.40 of FY27 ADR per 1pp of 4Q27 FX
FY26,,,,179.6798635928695,,,,,,,,,,,,,,,,,,,,,,,,583.1,104.7428854610022,,,
