quarter,geo_mix_buckets_pp,geo_mix_H_pp,diff_pp
1Q23,-3.04546706668708,-1.351797894609108,-1.6936691720779717
2Q23,-2.4244672524933786,-0.9030804532740522,-1.5213867992193264
3Q23,-1.591843959308381,-1.167207984169072,-0.4246359751393092
4Q23,-2.0724569656658143,-0.939076865441546,-1.1333801002242683
1Q24,-2.175921655959401,-1.325072509344749,-0.8508491466146517
2Q24,-1.1866124211966755,-1.131644617522953,-0.05496780367372245
3Q24,-1.3376962705506035,-1.1196157663853512,-0.21808050416525226
4Q24,-1.7106542297195548,-1.791887454358232,0.0812332246386771
1Q25,-1.734348085019699,-1.8943503003307605,0.1600022153110614
2Q25,-1.5372321378957832,-1.7015904262112749,0.1643582883154917
3Q25,-1.4148599206560308,-1.5932340599689845,0.17837413931295365
4Q25,-1.3125109989281514,-1.457397157766538,0.14488615883838674
1Q26,-0.9669926155033037,-1.0430677435334657,0.07607512803016192
2Q26,-1.1354680170195475,-1.2672243932303706,0.13175637621082315
