northern_stay_quarter,seasonal_role,phi0,phi1,phi2,phi3,booked_before_quarter,mean_lead_days_value_wtd
Q3,peak summer,0.4633821662176525,0.38937815254137775,0.0954500016289517,0.05178967961201764,0.5366178337823471,60.94782507226394
Q4,autumn shoulder + holidays,0.5017395150331228,0.3528418363472928,0.11743768659504666,0.027980962024537984,0.49826048496687747,51.00337110590136
Q1,winter trough,0.5583640467656267,0.31449941695494854,0.09998708436885367,0.02714945191057102,0.4416359532343732,48.2772909573586
Q2,spring shoulder,0.4980794165248419,0.3606152027985457,0.08212396412267467,0.05918141655393755,0.5019205834751579,66.2903238189449
