market,dimension,bucket,listings,reviews_ltm,reviews_per_listing,median_price,supply_share,demand_share,demand_index,guest_stay_share,guest_stay_index,revenue_share,revenue_index,median_price_per_guest
es_menorca,accommodates,1-2 guests,210,2725,12.976190476190476,218.0,0.07007007007007007,0.1396290223406436,1.992705618832899,0.05843752010465141,0.8339868940649537,0.07191189797773988,1.0262855154251733,109.0
es_menorca,accommodates,3-4 guests,1041,8137,7.816522574447647,245.2,0.34734734734734735,0.4169399467103915,1.2003544863506659,0.33551714524672427,0.9659412913587249,0.3030609613724957,0.8725011539225453,63.7
es_menorca,accommodates,5-6 guests,1093,5968,5.460201280878317,364.8,0.364698031364698,0.305800368928059,0.8385029329161874,0.36057558276682894,0.9886962685747359,0.3461725529293236,0.9492032398254189,64.25
es_menorca,accommodates,7+ guests,653,2686,4.113323124042879,610.345,0.21788455121788455,0.13763066202090593,0.6316678316640966,0.24546975188179537,1.126604665221655,0.27885458772044086,1.279827257883861,71.0145
es_menorca,bedrooms,0-1 br,412,4774,11.587378640776699,213.02,0.13747080413747081,0.24461979913916787,1.7794309175244807,0.1420299800561858,1.0331646850203613,0.13032856222689596,0.9480453907621533,75.8
es_menorca,bedrooms,2 br,942,6991,7.421443736730361,255.0,0.31431431431431434,0.35821889731502354,1.139683689228371,0.30961163174712103,0.9850382806222099,0.27121930719886883,0.8628919996549999,62.6
es_menorca,bedrooms,3 br,973,5016,5.1551901336074,395.0,0.324657991324658,0.25701988112318097,0.791663498176951,0.30634127511741116,0.9435815020831256,0.31331859557236114,0.9650727964340866,69.1
es_menorca,bedrooms,4+ br,670,2735,4.082089552238806,606.4300000000001,0.2235568902235569,0.1401414224226276,0.6268714074636043,0.24201711307928203,1.082575056565087,0.2851335350018741,1.27544060358301,73.5895
it_bergamo,accommodates,1-2 guests,488,7509,15.387295081967213,105.0,0.1673525377229081,0.22202838557066826,1.3267105990247308,0.10954867204867205,0.6545982124875568,0.20652170507086445,1.234051827841477,52.5
it_bergamo,accommodates,3-4 guests,1496,17406,11.635026737967914,126.0,0.5130315500685871,0.5146658781785926,1.0031856288561336,0.48046098046098046,0.9365135153905206,0.4363028048253719,0.8504404938975831,33.25
