quarter,y,h,v0,v0_err,na,emea,latam,apac,eur_yoy,usd_broad_yoy
2Q22,-5.6,0.5,-3.782983934252874,1.8170160657471257,-0.16681009650849116,-3.342998980919743,0.3202873074646305,-0.5934621642892703,-11.68656443980951,6.420287976978822
3Q22,-7.1,0.5,-5.201575729425426,1.8984242705745737,-0.16328538929399597,-4.313898328639852,-0.04523902328689675,-0.6791529882046813,-14.561450643191954,9.021550092667185
4Q22,-5.5,0.5,-3.9022441072795355,1.5977558927204645,-0.24947018355527442,-3.3161358296974464,0.4381384388753231,-0.7747765329021378,-10.61404607810108,8.530057846687345
1Q23,-2.8,0.5,-2.1903426266242794,0.6096573733757205,-0.15965399300710192,-1.8417402089588812,0.30331918648979866,-0.49226761114809486,-4.377271779789982,4.201265364931617
2Q23,-0.6,0.5,0.40911247938747664,1.0091124793874766,-0.06400369905470887,0.5154229628970611,0.36165528587442436,-0.4039620703293,2.2741397900749805,0.3465945242942414
3Q23,2.7,0.25,3.2682860430383243,0.5682860430383241,0.08232724070543021,2.5662174824218846,0.8547483583516755,-0.2350070384406659,8.072209716917111,-2.9527726072464233
4Q23,2.1,0.25,2.38479885376595,0.2847988537659498,0.11307981907898683,1.7499822858424965,0.612842797944596,-0.0911060491001291,5.324525364811583,-2.60822923024282
1Q24,0.6,0.5,0.9478895746041727,0.3478895746041727,0.10699979378399231,0.6930262011441838,0.533785385796439,-0.3859218061204423,1.2004089305147403,0.23902921268956767
2Q24,-0.9,0.5,-0.6857710258327901,0.21422897416720987,-0.04466614977406665,-0.20322924742789106,-0.14096535347359654,-0.2969102751572359,-1.0963821368004556,2.616520822432422
3Q24,-0.6,0.5,-0.5113373960015996,0.08866260399840042,-0.1572832470020224,0.47587765977082364,-0.8519886234058976,0.022056814635496805,0.9356616250930649,2.3424865173202747
4Q24,-1.1,0.5,-1.3487507395997014,-0.2487507395997013,-0.22425382911443836,0.060028991634073416,-1.087325240234366,-0.0972006618849703,-0.8953409223557807,3.4971311708968056
1Q25,-1.9,0.5,-2.879927362229372,-0.9799273622293723,-0.3795270021119734,-0.8457802851215102,-1.2883439731623048,-0.3662761018335837,-3.0807616984107167,5.8794264429848475
2Q25,1.9,0.5,0.9457970704982952,-0.9542029295017047,-0.1507589202911551,1.8962578092101388,-0.7730496521599732,-0.02665216626071536,5.365211004769677,-0.12354063396208259
3Q25,2.7,0.5,1.9387574107543495,-0.7612425892456507,-0.021554989253461238,1.964653510484842,0.1342639319217671,-0.13860504239879834,6.387195815799163,-1.9897857088860715
4Q25,2.9,0.5,3.435728783468813,0.5357287834688131,0.10369128865337122,2.6727969264409164,0.708458120899665,-0.04921755252513964,9.130590411040608,-4.0028051670096705
1Q26,5.0,0.5,5.499377331576072,0.49937733157607234,0.3067555152862208,3.5904226468507767,1.1589017559989656,0.4432974134401093,11.20405384739871,-6.752506768896415
2Q26,1.3,0.5,2.1198193525118785,0.8198193525118784,0.10754474518155403,0.7052862293003697,1.0639445278112045,0.24304385021875005,2.5070858026281506,-2.494809888948346
