row,col,head,new,diff
1,phi_1,0.0291901015753378,0.0291899880438389,1.1353149889994918e-07
2,phi_1,0.0583802031506756,0.0583799760876779,2.2706299770275384e-07
3,phi_1,0.0875703047260134,0.0875699641315169,3.4059449650902796e-07
4,phi_1,0.1167604063013512,0.1167599521753559,4.5412599530836317e-07
5,phi_1,0.145950507876689,0.1459499402191948,5.676574942048429e-07
6,phi_1,0.1751406094520268,0.1751399282630338,6.811889930180559e-07
7,phi_1,0.2043307110273646,0.2043299163068728,7.947204918035133e-07
8,phi_1,0.2335208126027025,0.2335199043507118,9.082519906999931e-07
9,phi_1,0.2627109141780403,0.2627098923945508,1.0217834895409617e-06
10,phi_1,0.2919010157533781,0.2918998804383897,1.1353149884096858e-06
11,phi_1,0.321091117328716,0.3210898684822287,1.24884648727841e-06
12,phi_1,0.3502812189040537,0.3502798565260677,1.3623779860361118e-06
13,phi_1,0.3794713204793916,0.3794698445699067,1.475909484904836e-06
14,phi_1,0.4086614220547293,0.4086598326137456,1.5894409836625378e-06
15,phi_1,0.4378515236300672,0.4378498206575846,1.7029724825867731e-06
16,phi_1,0.467041625205405,0.4670398087014236,1.8165039813999861e-06
17,phi_1,0.4962317267807428,0.4962297967452626,1.930035480213199e-06
18,phi_1,0.5254218283560806,0.5254197847891016,2.0435669790819233e-06
19,phi_1,0.5546119299314184,0.5546097728329406,2.157098477839625e-06
20,phi_1,0.5838020315067562,0.5837997608767795,2.2706299767083493e-06
0,phi_2,0.5838020315067562,0.5837997608767795,2.2706299767083493e-06
1,phi_2,0.5546119299314184,0.5546097728329406,2.157098477839625e-06
2,phi_2,0.5254218283560806,0.5254197847891016,2.0435669790819233e-06
3,phi_2,0.4962317267807428,0.4962297967452626,1.930035480213199e-06
4,phi_2,0.467041625205405,0.4670398087014236,1.8165039813999861e-06
5,phi_2,0.4378515236300672,0.4378498206575846,1.7029724825867731e-06
6,phi_2,0.4086614220547293,0.4086598326137456,1.5894409836625378e-06
7,phi_2,0.3794713204793916,0.3794698445699067,1.475909484904836e-06
8,phi_2,0.3502812189040537,0.3502798565260677,1.3623779860361118e-06
9,phi_2,0.321091117328716,0.3210898684822287,1.24884648727841e-06
