basis,take_point_pct,sd_pp,p_ge_18_10,note
"B1 joint block, GBV recentred on the decided level (the asked-for number)",18.611117036454466,0.490073,0.860934,revenue 4816.1 sd 48.0; GBV mean 25877.544 sd 853.209; rho 0.7595; 500k draws seed 20260911
"B1 revenue, GBV KNOWN at the decided level (conditional)",18.611117036454466,0.1854890093124757,0.9970699747911956,GBV treated as printed; only revenue uncertain
"kernel revenue 4804.04, GBV KNOWN at the decided level",18.564495543109594,0.1854890093124757,0.9938630039088648,R1 kernel on the printed lagged GBV base 27866.7
"D7 mechanism line, base scenario (07d sd 0.45pp)",18.053952005320788,0.45,0.4592478175133922,seasonal norm x central-theta multiplier x (1-L); GBV-free
"D7 mechanism line, short scenario",17.931271937531204,0.45,0.353848361454581,
"D7 mechanism line, breaker scenario",18.119598328198272,0.45,0.5173691794986178,
