quarter,actual_revenue_musd,issued_guide_mid_musd,guide_issued_date,actual_publication,actual_over_guide_minus_one_pct
2024Q3,3732.0,3700.0,2024-08-06,2024-11-07,0.864864864864856
2024Q4,2480.0,2415.0,2024-11-07,2025-02-13,2.69151138716357
2025Q1,2272.0,2250.0,2025-02-13,2025-05-01,0.9777777777777885
2025Q2,3096.0,3020.0,2025-05-01,2025-08-06,2.516556291390737
2025Q3,4095.0,4060.0,2025-08-06,2025-11-06,0.8620689655172376
2025Q4,2778.0,2690.0,2025-11-06,2026-02-12,3.271375464684012
2026Q1,2678.0,2610.0,2026-02-12,2026-05-07,2.605363984674325
2026Q2,3608.0,3570.0,2026-05-07,2026-08-06,1.0644257703081195
